z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
7.0999999999999925 1.2168833564919672e-06 1.2810304278832767e-06 1.7001354037705487e-06 1.8022333172516178e-06
7.199999999999992 1.1958663640599882e-06 1.229207462281427e-06 1.5740477782981712e-06 1.780611388023413e-06
7.299999999999992 1.175794764672889e-06 1.19015201559354e-06 1.4970715633823368e-06 1.757001504392118e-06
7.3999999999999915 1.15644551682973e-06 1.1470680816703916e-06 1.4736470111811117e-06 1.7302869119156827e-06
7.499999999999991 1.1382665774735892e-06 1.1146392229132498e-06 1.4532584442471021e-06 1.7000958610101334e-06
7.599999999999991 1.120230259593057e-06 1.0963598864852287e-06 1.428225486047617e-06 1.6694114206353653e-06
7.69999999999999 1.102628793328722e-06 1.0791811460541519e-06 1.4000729837192012e-06 1.643402104040319e-06
7.79999999999999 1.0853651932514636e-06 1.0607626891634866e-06 1.3753614865687052e-06 1.6130795038704398e-06
7.89999999999999 1.068576618703656e-06 1.0417131091965846e-06 1.3473907736835762e-06 1.5981174763006544e-06
7.999999999999989 1.0528614905277288e-06 1.0235493273783867e-06 1.3166178421512273e-06 1.5931964702744808e-06
8.099999999999989 1.038961126619049e-06 1.0064936739062283e-06 1.2832011547640762e-06 1.5684615181587505e-06
8.199999999999989 1.036300791713045e-06 9.895456853515517e-07 1.225730962321349e-06 1.540287800304375e-06
8.299999999999988 1.034924481884041e-06 9.729924735055725e-07 1.1846660235726222e-06 1.5094374783611023e-06
8.399999999999988 1.0235927855452914e-06 9.568352342316195e-07 1.1582768413118474e-06 1.4799288977356023e-06
8.499999999999988 1.0092766917735669e-06 9.412424314904502e-07 1.1336084561000556e-06 1.4613170258280636e-06
8.599999999999987 9.955063913405962e-07 9.262936060492143e-07 1.1080566728882673e-06 1.4359411016470688e-06
8.699999999999987 9.816527116217522e-07 9.119111192483396e-07 1.0752311501803052e-06 1.4097848592804834e-06
8.799999999999986 9.687168866835878e-07 8.972677426024527e-07 1.042243466974081e-06 1.380076694832458e-06
8.899999999999986 9.568045460984516e-07 8.828268252586739e-07 1.016624736075528e-06 1.3355477850909967e-06
8.999999999999986 9.449445255655946e-07 8.694626147661586e-07 9.883326896447907e-07 1.2410864764081497e-06
9.099999999999985 9.333654356355317e-07 8.560373558536836e-07 9.572483044611961e-07 1.140250021507318e-06
9.199999999999985 9.212112945309061e-07 8.430932540266569e-07 9.281624704065908e-07 1.0734783700957364e-06
9.299999999999985 9.096298519859213e-07 8.311804841611806e-07 8.90778003113487e-07 1.0327036833306715e-06
9.399999999999984 8.990139382611406e-07 8.200757713498583e-07 8.586108054619545e-07 1.0051434112489537e-06
9.499999999999984 8.896642328023187e-07 8.093212378335318e-07 8.335576060214358e-07 9.864271713344465e-07
9.599999999999984 8.820161328671644e-07 7.985967589904018e-07 8.107630478213707e-07 9.70769483723887e-07
9.699999999999983 8.732362358572638e-07 7.8794168091168e-07 7.858018184922581e-07 9.535447029743431e-07
9.799999999999983 8.632845202987554e-07 7.778992895202948e-07 7.665393013670539e-07 9.368915125446896e-07
9.899999999999983 8.539050687258899e-07 7.683232509494971e-07 7.540753445188386e-07 9.21514508158697e-07
9.999999999999982 8.4455863307176e-07 7.582031759278847e-07 7.446712426798797e-07 9.059798676822632e-07
10.099999999999982 8.349964218531623e-07 7.464125869581322e-07 7.368566597907306e-07 8.907213507450059e-07
10.199999999999982 8.262643157890795e-07 7.350741164187338e-07 7.290011117321599e-07 8.750001268723917e-07
10.299999999999981 8.188550812448689e-07 7.253447131482291e-07 7.206058813932746e-07 8.587494770274203e-07
