z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
8.599999999999987 8.08772334007185e-06 6.8778932925898946e-06 7.419907948049086e-06 9.911769497146597e-06
8.699999999999987 7.999946449224263e-06 6.782350787623856e-06 7.264964126599511e-06 9.709483343281157e-06
8.799999999999986 7.917566602562094e-06 6.681943003031016e-06 7.101669751990646e-06 9.47812243868158e-06
8.899999999999986 7.847954246444323e-06 6.582648160719627e-06 7.019065287707676e-06 9.083796399991265e-06
8.999999999999986 7.778497065511487e-06 6.495156689173957e-06 6.892856471096223e-06 8.153146487559663e-06
9.099999999999985 7.706734616240513e-06 6.405272360178599e-06 6.7226964193240145e-06 7.155011687449819e-06
9.199999999999985 7.633292206585673e-06 6.318032415358571e-06 6.574272586836882e-06 6.5229867543652856e-06
9.299999999999985 7.564892335342305e-06 6.240692471403812e-06 6.326482855317267e-06 6.1731511090275125e-06
9.399999999999984 7.501179241427344e-06 6.170493289046513e-06 6.127042043536076e-06 5.9733902686657096e-06
9.499999999999984 7.453107437351169e-06 6.102045736628135e-06 5.994956473523676e-06 5.883045486012597e-06
9.599999999999984 7.4298893177229146e-06 6.0326013482076e-06 5.87073590333517e-06 5.834886359655097e-06
9.699999999999983 7.388476770495411e-06 5.962279511430586e-06 5.70064098173718e-06 5.769744497456889e-06
9.799999999999983 7.3286628680968415e-06 5.897405764473788e-06 5.560997995938149e-06 5.708618390866993e-06
9.899999999999983 7.274204018839495e-06 5.837237201485013e-06 5.477668867982358e-06 5.6591129336225124e-06
9.999999999999982 7.218115929848532e-06 5.767858340807027e-06 5.42192257983431e-06 5.6043909402067995e-06
10.099999999999982 7.159521902581513e-06 5.6782892204878755e-06 5.381043395232105e-06 5.55053875268485e-06
10.199999999999982 7.10803176970331e-06 5.594474003294922e-06 5.336759720739482e-06 5.4892602316153935e-06
10.299999999999981 7.080544984335791e-06 5.528110443319268e-06 5.285107487787567e-06 5.41899570559436e-06
10.39999999999998 7.054546546962612e-06 5.475477663545412e-06 5.2253949386947526e-06 5.34120565125974e-06
10.49999999999998 7.005115095490723e-06 5.426857877121945e-06 5.167792923196189e-06 5.222941126770977e-06
10.59999999999998 6.940150384478601e-06 5.380637146318366e-06 5.1107414523176594e-06 5.100244070843098e-06
10.69999999999998 6.69655891775877e-06 5.3358718126492404e-06 5.053904187682394e-06 5.00471232528085e-06
10.79999999999998 6.5361881695437765e-06 5.291349843520928e-06 4.996646722885975e-06 4.9449465818698784e-06
10.899999999999979 6.447789908824397e-06 5.247628692411196e-06 4.938408803659991e-06 4.896018961381334e-06
10.999999999999979 6.3926492721751076e-06 5.205200102996512e-06 4.884742040951203e-06 4.8433669154012315e-06
11.099999999999978 6.345694872382183e-06 5.162632450169808e-06 4.833822686188618e-06 4.785563389622917e-06
11.199999999999978 6.300886091814002e-06 5.121627825003125e-06 4.781888511181633e-06 4.71521034908362e-06
11.299999999999978 6.2534710821610526e-06 5.081763898737156e-06 4.732066387692596e-06 4.644175533712021e-06
11.399999999999977 6.20542928748173e-06 5.044572949772007e-06 4.68273502822994e-06 4.5786333475344274e-06
11.499999999999977 6.156636082278984e-06 5.014120744557265e-06 4.629919861991789e-06 4.5234055178428445e-06
11.599999999999977 6.111290593778449e-06 5.029399499641509e-06 4.579693815518368e-06 4.456835280706884e-06
11.699999999999976 6.064564849049704e-06 5.051758317721792e-06 4.534225815465047e-06 4.3878564697591655e-06
11.799999999999976 6.0178463879932055e-06 5.0649998157018156e-06 4.488790704947969e-06 4.316981662990537e-06
11.899999999999975 5.971019475878277e-06 5.070962138996876e-06 4.441150442369541e-06 4.23559039773437e-06
