z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
5.0 1.6459845500239635e-06 2.2046713970379197e-06 1.8945660689767941e-06 1.6510559002353228e-06
5.1 1.6058588079663957e-06 2.1578083869669208e-06 1.8571675920984987e-06 1.6119468301479968e-06
5.199999999999999 1.5746716956011294e-06 2.1106615605618783e-06 1.820610765439324e-06 1.575013557872049e-06
5.299999999999999 1.5464834832968093e-06 2.065640758698858e-06 1.7844605366797277e-06 1.5402652948590667e-06
5.399999999999999 1.5197883870010354e-06 2.0182970825163627e-06 1.7501779287533318e-06 1.5067875289828697e-06
5.499999999999998 1.494921180109233e-06 1.964070466849153e-06 1.715279960172353e-06 1.4749206151978588e-06
5.599999999999998 1.4713340976332312e-06 1.8939945542960492e-06 1.6852569179875715e-06 1.444748523223812e-06
5.6999999999999975 1.4485465345991195e-06 1.818220043983234e-06 1.6569672301631876e-06 1.4160471825473168e-06
5.799999999999997 1.4261137395008455e-06 1.744995153798739e-06 1.6290444717826011e-06 1.3886112546648723e-06
5.899999999999997 1.4045532438232849e-06 1.6750181454119745e-06 1.6020696194006465e-06 1.3622866068436029e-06
5.9999999999999964 1.3837290305985724e-06 1.6057876489745618e-06 1.5768627606421157e-06 1.3372153176741782e-06
6.099999999999996 1.3638639723359002e-06 1.5392652283429784e-06 1.552641078576894e-06 1.312913119216605e-06
6.199999999999996 1.3445082311668298e-06 1.4775672502102523e-06 1.5274511383646782e-06 1.2893462766484402e-06
6.299999999999995 1.325328588434718e-06 1.4192817295093423e-06 1.5027389045982495e-06 1.2663387411522731e-06
6.399999999999995 1.3071780436659649e-06 1.3606957435899268e-06 1.4815220505274075e-06 1.2441494234089074e-06
6.499999999999995 1.2904119235067405e-06 1.303315701824351e-06 1.4620582750213834e-06 1.2229270611392922e-06
6.599999999999994 1.2744559070065834e-06 1.249364615538945e-06 1.4426105268517228e-06 1.2027548270666842e-06
6.699999999999994 1.2591479973919652e-06 1.199773896652269e-06 1.4223250690211944e-06 1.183636806672808e-06
6.799999999999994 1.2447757624972171e-06 1.150464657960558e-06 1.4038547042368196e-06 1.164450639547364e-06
6.899999999999993 1.2308853665254126e-06 1.1073258759658278e-06 1.3833784733638683e-06 1.1460941312337522e-06
6.999999999999993 1.2174612788192313e-06 1.0667214592486325e-06 1.3635895637819032e-06 1.127121945380799e-06
7.0999999999999925 1.2047284036640777e-06 1.0283664053953755e-06 1.343718987660201e-06 1.1096015304169947e-06
7.199999999999992 1.1919034300336547e-06 9.927260281836224e-07 1.3256420542573262e-06 1.093719864280885e-06
7.299999999999992 1.179616452100153e-06 9.60153189528314e-07 1.3050508643936372e-06 1.0787408314839785e-06
7.3999999999999915 1.1676399512295923e-06 9.336197906590531e-07 1.2794793756060144e-06 1.0639677432652614e-06
7.499999999999991 1.1565355452112002e-06 9.166276343984407e-07 1.2477363886648556e-06 1.0490456906261636e-06
7.599999999999991 1.1451418769096434e-06 9.041272477633954e-07 1.2129091979875499e-06 1.0348294997118736e-06
7.69999999999999 1.1338884833850022e-06 8.937415519612703e-07 1.1784259174213645e-06 1.0212876366172807e-06
7.79999999999999 1.1225861890322322e-06 8.843168952586393e-07 1.1439109453381931e-06 1.0079737275136992e-06
7.89999999999999 1.111449669216871e-06 8.7520740104911e-07 1.1091175702164653e-06 9.943002794000636e-07
7.999999999999989 1.1011388878691889e-06 8.665142390358861e-07 1.075417716331803e-06 9.802220692989479e-07
8.099999999999989 1.0907912664408333e-06 8.582621975594331e-07 1.0434884108576123e-06 9.675484786545563e-07
8.199999999999989 1.0802397586743425e-06 8.499883960450064e-07 1.0132618385458909e-06 9.55974345776717e-07
8.299999999999988 1.070052643045162e-06 8.420445201362363e-07 9.83073062494057e-07 9.449228332355921e-07
8.399999999999988 1.060017133320189e-06 8.341509290813898e-07 9.518345845372111e-07 9.338271216871977e-07
8.499999999999988 1.0508239855281564e-06 8.264773513797304e-07 9.205226535423568e-07 9.220222385756922e-07
8.599999999999987 1.0416173107710706e-06 8.190430970992532e-07 8.899014105827276e-07 9.11192621513048e-07
8.699999999999987 1.032302571216731e-06 8.118117371468642e-07 8.611797178642384e-07 9.004633680479254e-07
8.799999999999986 1.023726088348614e-06 8.046992891927906e-07 8.333912695852381e-07 8.885034672282311e-07
8.899999999999986 1.015101268297608e-06 7.977165279844139e-07 8.054542906004759e-07 8.770233955722482e-07
8.999999999999986 1.0064297613989018e-06 7.907123209992466e-07 7.795107065632681e-07 8.659061040964552e-07
9.099999999999985 9.984257716609487e-07 7.839016545850477e-07 7.555483627486704e-07 8.549196657413022e-07
9.199999999999985 9.89608437639023e-07 7.774534128315355e-07 7.316291541119182e-07 8.437164749924317e-07
9.299999999999985 9.810178069360197e-07 7.712083917607231e-07 7.085941581532024e-07 8.322994134654354e-07
9.399999999999984 9.733939207582633e-07 7.652273997803339e-07 6.866134217311271e-07 8.192938215975921e-07
9.499999999999984 9.6582020679719e-07 7.595289017305608e-07 6.660491369113693e-07 8.035376735777771e-07
9.599999999999984 9.580355559658692e-07 7.539545639907429e-07 6.479705033310155e-07 7.861784673771643e-07
9.699999999999983 9.509823083024882e-07 7.485688893121887e-07 6.338871989475291e-07 7.686255774966248e-07
9.799999999999983 9.440486596272098e-07 7.43342776419005e-07 6.246445347007086e-07 7.512435695157878e-07
9.899999999999983 9.369694400287496e-07 7.381587159791768e-07 6.179435928483752e-07 7.342107980859652e-07
