z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
5.0 2.3941678678086106e-06 4.081500991450962e-06 3.40045624050202e-06 2.8749406159933675e-06
5.1 2.3146923726513848e-06 3.970469643870236e-06 2.529299316354634e-06 2.829400268801928e-06
5.199999999999999 2.263959463692074e-06 3.872753270914486e-06 2.2891739451406404e-06 2.7750293005957844e-06
5.299999999999999 2.2187586621194228e-06 3.1396625803580904e-06 2.7354679408158385e-06 2.716290232479756e-06
5.399999999999999 2.164983203474039e-06 2.8278714400492255e-06 2.9080614682244914e-06 2.6532148288578143e-06
5.499999999999998 2.1135979500236017e-06 2.6064305914854514e-06 3.0267741298997383e-06 2.585287827470731e-06
5.599999999999998 2.0634598279645553e-06 2.5275813371932918e-06 3.035515409535247e-06 2.5378088551052893e-06
5.6999999999999975 2.0160252205581353e-06 2.455439000123558e-06 2.9850287471365714e-06 2.4815034603454752e-06
5.799999999999997 1.9707207184354715e-06 2.3830259406995526e-06 2.9553959575471568e-06 2.4231886385570813e-06
5.899999999999997 1.92771513796584e-06 2.3189613228913627e-06 2.906374320172068e-06 2.3642204827569316e-06
5.9999999999999964 1.8834638745250305e-06 2.250786105682792e-06 2.8968491179231072e-06 2.298761941374371e-06
6.099999999999996 1.8435259282136533e-06 2.186324993948841e-06 2.889340954154533e-06 2.2238206620042944e-06
6.199999999999996 1.8044946463586317e-06 2.091951375294856e-06 2.898413880135589e-06 2.1588942143018493e-06
6.299999999999995 1.767267142671353e-06 1.9920551939267527e-06 2.9112354756326623e-06 2.102242072880207e-06
6.399999999999995 1.7337189378266015e-06 1.9307536116565456e-06 2.8943151597070023e-06 2.0441118338255815e-06
6.499999999999995 1.7025932629748044e-06 1.8760534299126493e-06 2.872415720115158e-06 1.959915822379667e-06
6.599999999999994 1.673057487244833e-06 1.8157670304410912e-06 2.8475736089289415e-06 1.7914703598267783e-06
6.699999999999994 1.6447290256525746e-06 1.7442804311317389e-06 2.8354970961760455e-06 1.616659384796632e-06
6.799999999999994 1.6180035372473533e-06 1.6916826488824919e-06 2.7860186721179308e-06 1.8218861668433362e-06
6.899999999999993 1.581966226313526e-06 1.629442292667723e-06 2.644561728155141e-06 1.9312186743957863e-06
6.999999999999993 1.5479827270518426e-06 1.5757114651635565e-06 2.1792188869442375e-06 1.975419507378798e-06
7.0999999999999925 1.5238457728542037e-06 1.504466590239169e-06 1.9254156155419107e-06 1.9842525904487305e-06
7.199999999999992 1.501716117573663e-06 1.446932234342894e-06 1.7867983245236636e-06 1.9618273071478073e-06
7.299999999999992 1.480637923618511e-06 1.4040049177968011e-06 1.7028607973832545e-06 1.937123307893064e-06
7.3999999999999915 1.4603611913976527e-06 1.356289120170305e-06 1.6788652680677712e-06 1.908900535042325e-06
7.499999999999991 1.4414148987945585e-06 1.3209526063588334e-06 1.6580101795342258e-06 1.8767786131769185e-06
7.599999999999991 1.4225147143677543e-06 1.3020159834935719e-06 1.6315741344214946e-06 1.8440709563056838e-06
7.69999999999999 1.4040361036473464e-06 1.2842362298388285e-06 1.6014331976853221e-06 1.8165114845692231e-06
7.79999999999999 1.3858657106842737e-06 1.2648456350727629e-06 1.5751820387781353e-06 1.7840544962263222e-06
7.89999999999999 1.3682099837961565e-06 1.2445820223034842e-06 1.5451331562707414e-06 1.7688613092588637e-06
7.999999999999989 1.3518278114684409e-06 1.225293304802947e-06 1.5118081993996546e-06 1.765044033312369e-06
8.099999999999989 1.3377587649194302e-06 1.20725428042541e-06 1.4754653170924322e-06 1.7387506903775728e-06
8.199999999999989 1.338533044995279e-06 1.1892675373330738e-06 1.4117224495815974e-06 1.7085120129512377e-06
8.299999999999988 1.3408909042161524e-06 1.1716827354234012e-06 1.36653347420544e-06 1.675252729376949e-06
8.399999999999988 1.329905830703203e-06 1.1544978302696528e-06 1.3379520794847665e-06 1.6434979022609525e-06
8.499999999999988 1.3148240591017767e-06 1.1379275362582988e-06 1.311257278556787e-06 1.624030602095479e-06
8.599999999999987 1.3004423354449255e-06 1.1220702335517828e-06 1.2834817162143267e-06 1.596846892390228e-06
8.699999999999987 1.2858418496246933e-06 1.106829932292121e-06 1.2473283888620347e-06 1.5687229708824698e-06
8.799999999999986 1.272332925086219e-06 1.0912316581991314e-06 1.210947697544503e-06 1.5367368123984335e-06
8.899999999999986 1.2601059479604738e-06 1.0758198550123903e-06 1.1829492662818724e-06 1.4881221994387463e-06
8.999999999999986 1.2478726034708065e-06 1.0616340469628903e-06 1.15179106072037e-06 1.3838853671690303e-06
9.099999999999985 1.2359009755684658e-06 1.0473278215646895e-06 1.117378700118437e-06 1.2725391166821913e-06
9.199999999999985 1.2231005452421277e-06 1.0335617616273724e-06 1.0852020724563904e-06 1.1989615171825468e-06
9.299999999999985 1.2109902782751517e-06 1.0209938913462633e-06 1.043381854470483e-06 1.1542837535001102e-06
9.399999999999984 1.200110485764196e-06 1.009380353312075e-06 1.007517508243811e-06 1.1244209233134532e-06
9.499999999999984 1.1909042310256148e-06 9.981396404537793e-07 9.797965212691357e-07 1.104389639109043e-06
9.599999999999984 1.1840025790301442e-06 9.868897653497974e-07 9.546365693668971e-07 1.0875537470562587e-06
9.699999999999983 1.175453210103734e-06 9.756826614604125e-07 9.269242686097439e-07 1.0688704194445049e-06
9.799999999999983 1.165210990274013e-06 9.651764501616243e-07 9.057661825526499e-07 1.0508068650511976e-06
9.899999999999983 1.1556178714777257e-06 9.551917545663482e-07 8.92457770537372e-07 1.0341636302240222e-06
