log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V HbetaEW
6.0 3.602866879696703e+20 1.1368703850455803e+21 2.093045979456191e+21 1.4928517275267975e+21 2.7849816639371136e+21 2.1353796804538223e+21 2.4903640165757364e+21 5.000576293395425e+21 544.1930374868884
6.1 4.076101145215783e+20 1.3074252787431388e+21 2.434965006488634e+21 1.7165232191148715e+21 3.2509372336379994e+21 2.4772903537601874e+21 2.8990218651660567e+21 5.926076911724032e+21 554.640073104223
6.199999999999999 4.355941447347451e+20 1.4024102547660795e+21 2.58905205150979e+21 1.842764152429734e+21 3.4303994233574313e+21 2.635132556048591e+21 3.070138792895454e+21 6.1798357061754e+21 540.4435353541568
6.299999999999999 4.864158497595147e+20 1.575913261586982e+21 2.7920224664854515e+21 2.317816614534783e+21 3.7082760326367727e+21 3.0505339734557285e+21 3.3019299727525355e+21 6.377391571936337e+21 397.19266541124284
6.399999999999999 4.6886347894331854e+20 1.509996111617205e+21 2.6309648488422347e+21 2.3352510644214932e+21 3.5094626852211225e+21 2.975675348938877e+21 3.108043333479589e+21 6.231430739623085e+21 333.7869095292456
6.499999999999998 3.6522577811491684e+20 1.1745130182504763e+21 2.0212146308456645e+21 1.8574802807578283e+21 2.7024449600967703e+21 2.3196130928847786e+21 2.3921713179247856e+21 4.4120731172557e+21 318.81363691868467
6.599999999999998 2.7607780744883556e+20 9.141938338340979e+20 1.6113853252271318e+21 2.0854691510781335e+21 2.5193200796971597e+21 2.3699430353576405e+21 2.0442715560763749e+21 3.7126306674670536e+21 194.3999533166042
6.6999999999999975 2.0470335169603653e+20 6.621982872277862e+20 1.1539286038772363e+21 1.7449954645687783e+21 1.9311940893090445e+21 1.9131629825700898e+21 1.514987946852191e+21 2.840839737784668e+21 145.66423189545284
6.799999999999997 1.462102778012026e+20 4.6189528973577834e+20 7.761392495772395e+20 1.189960628390523e+21 1.2578843653784781e+21 1.2827875553114933e+21 1.0021930744117595e+21 1.9689193144784063e+21 117.84408023053017
6.899999999999997 1.105783089263621e+20 3.442361341332102e+20 5.5362541692116684e+20 8.247454187638257e+20 8.656712711144984e+20 8.791327718474613e+20 7.008816734599772e+20 1.244852963502443e+21 102.31576827542531
