log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V HbetaEW
6.0 8.520099558492406e+21 6.113795577469732e+21 3.9937350250578203e+21 3.537714394258149e+21 3.930913536768902e+21 3.585234071723547e+21 3.9908861611627066e+21 2.4141185635887077e+21 0.0
6.1 8.740042333630306e+21 6.328609333213441e+21 4.145302297652438e+21 3.6739382963832934e+21 4.0827517306910765e+21 3.723626530902763e+21 4.1436256656326404e+21 2.5105110418748143e+21 0.0
6.199999999999999 9.23181840030717e+21 6.82773922650518e+21 4.502238044797774e+21 3.999140085929843e+21 4.4442553199037556e+21 4.0539050497403147e+21 4.5050175488032134e+21 2.74137403431932e+21 0.0
6.299999999999999 9.818594490259343e+21 7.483219985308023e+21 4.985218652971853e+21 4.451649002016099e+21 4.945394047201502e+21 4.513214481788434e+21 4.998430193744076e+21 3.064564028020743e+21 0.0
6.399999999999999 1.0220858867992146e+22 8.045202042710012e+21 5.43774850505354e+21 4.912484459981225e+21 5.446289686787727e+21 4.979980059810899e+21 5.469964155962182e+21 3.4035995665216664e+21 0.0
6.499999999999998 1.01372505975484e+22 8.188456161240024e+21 5.63028561804083e+21 5.195249290026152e+21 5.731874809847198e+21 5.263998598619163e+21 5.696007102519371e+21 3.637634823808526e+21 0.0
6.599999999999998 9.583645493787435e+21 7.860617102533361e+21 5.471863929008096e+21 5.143602782477725e+21 5.648329183344707e+21 5.208882209734403e+21 5.564736610835521e+21 3.6379077882546026e+21 0.0
6.6999999999999975 8.756345841723453e+21 7.238034573487986e+21 5.069045255743036e+21 4.822072085621359e+21 5.276544273303639e+21 4.881477904278034e+21 5.173551418190521e+21 3.448565672842168e+21 0.0
6.799999999999997 7.800364515348841e+21 6.483623584183116e+21 4.561188975097168e+21 4.388400319369896e+21 4.784776231930653e+21 4.4408473929127664e+21 4.6718457911203426e+21 3.187069358299616e+21 0.0
6.899999999999997 6.805917185688014e+21 5.689052071386851e+21 4.0198387473228686e+21 3.9096484245850853e+21 4.247691179191607e+21 3.9547120632570933e+21 4.131490514872889e+21 2.898124092701284e+21 0.0
6.9999999999999964 5.837402236684439e+21 4.911153241797046e+21 3.4876443993357046e+21 3.4299541090551726e+21 3.711325116753707e+21 3.467479968914829e+21 3.595848785811686e+21 2.6024877341953596e+21 0.0
7.099999999999996 4.937380154159233e+21 4.1827313549563795e+21 2.9888008538604107e+21 2.97501045515517e+21 3.2018001236664884e+21 3.0049907300078516e+21 3.0892927741442177e+21 2.3053682011600081e+21 0.0
7.199999999999996 4.136285377133552e+21 3.531525380963265e+21 2.544345923230709e+21 2.5731505454921527e+21 2.7492666142819515e+21 2.5958475791572926e+21 2.637446533921553e+21 2.0268729265889652e+21 0.0
7.299999999999995 3.4417496462381935e+21 2.9642019110326653e+21 2.1600521472771755e+21 2.2381344082267301e+21 2.368771326870433e+21 2.254110228891407e+21 2.2509847542116023e+21 1.7845185621265144e+21 0.0
7.399999999999995 2.851390037233858e+21 2.4776013055421585e+21 1.8295939655121355e+21 1.953718768028414e+21 2.0451414671566085e+21 1.9638251468160683e+21 1.9204536523439724e+21 1.5729426399773587e+21 0.0
7.499999999999995 2.3563595661791252e+21 2.0655093637597904e+21 1.5471856075602733e+21 1.7077543919148679e+21 1.7661296377968368e+21 1.7128544313902084e+21 1.6373074773935157e+21 1.3850612801382682e+21 0.0
7.599999999999994 1.9430991116786247e+21 1.718611634432858e+21 1.307846063254962e+21 1.4975798803914568e+21 1.527637373968851e+21 1.4984029182010151e+21 1.3967718066039536e+21 1.2243589113278675e+21 0.0
7.699999999999994 1.5990275486481638e+21 1.4274389268385408e+21 1.1052424751618872e+21 1.3156015663121063e+21 1.321646202294034e+21 1.3128175044726515e+21 1.191709273531196e+21 1.0851432210136194e+21 0.0
7.799999999999994 1.3126503065655417e+21 1.1830019374105598e+21 9.333201868986066e+20 1.1552291603222928e+21 1.1416875266370343e+21 1.1495779709048919e+21 1.0158380626122356e+21 9.636731629533046e+20 0.0
