log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V HbetaEW
6.0 1.382530612619606e+22 1.027777654444881e+22 1.0077303955679135e+22 5.531260920120161e+21 1.1619814526911255e+22 8.076810139401205e+21 1.1159825236003343e+22 1.4554866628458988e+22 544.1930374868884
6.1 1.4019109324587992e+22 1.0444884969658109e+22 1.0256316689635007e+22 5.62138435152796e+21 1.1831208231692359e+22 8.217541792690939e+21 1.1358734399803167e+22 1.484893531401003e+22 545.4897802423304
6.199999999999999 1.446323209855599e+22 1.0820246824224276e+22 1.0638748149173803e+22 5.824161828922077e+21 1.2269025252699458e+22 8.519583804811283e+21 1.177791003342109e+22 1.5423756026996394e+22 545.8202792639493
6.299999999999999 1.5138544068296673e+22 1.1374205483410113e+22 1.1120784845136793e+22 6.221978535264776e+21 1.28157863879398e+22 8.987008225874223e+21 1.2299365939438474e+22 1.599862379396898e+22 522.8132323825939
6.399999999999999 1.579397029924764e+22 1.1903527091597528e+22 1.1514160781473366e+22 6.715580606992857e+21 1.3272517935163242e+22 9.478334776377157e+21 1.2720505084726754e+22 1.6441816486594551e+22 479.68105400905097
6.499999999999998 1.5818696847682154e+22 1.1936659181699443e+22 1.1432235522694159e+22 6.921418390628724e+21 1.3188727924978864e+22 9.571046784272557e+21 1.2621873010414677e+22 1.617499480668183e+22 444.2364125498741
6.599999999999998 1.5084482024409494e+22 1.1411771827077293e+22 1.0867985333483746e+22 7.005224262423701e+21 1.2712659736897257e+22 9.423800181979741e+21 1.2057975288905832e+22 1.5225818049473254e+22 404.1156608098651
6.6999999999999975 1.3873549221054057e+22 1.0518312196551513e+22 9.98896245462093e+21 7.016463186069272e+21 1.1993551252114849e+22 9.136451867181417e+21 1.119604028818046e+22 1.3990824981206797e+22 357.8970864411814
6.799999999999997 1.2403477381320859e+22 9.391355448655703e+21 8.879447762199948e+21 6.679462978021113e+21 1.0878950327749412e+22 8.482269697250141e+21 1.0033279301841758e+22 1.249219914535544e+22 321.38732364338534
6.899999999999997 1.0869235220356362e+22 8.205180985532356e+21 7.705342040601495e+21 6.065307197489998e+21 9.543239559763674e+21 7.566660611816623e+21 8.743311069167509e+21 1.0837912602324318e+22 295.2709492505944
