log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V HbetaEW
9.099999999999989 6555632736965896.0 3.532151342624245e+17 3.0718250503930353e+18 1.2543901173383598e+19 6.635658892053709e+18 1.1645497376615952e+19 4.5971231794331653e+18 2.416101135467393e+19 0.025950145166984035
9.199999999999989 4449427011238621.5 2.2439723620032685e+17 2.3665566943518746e+18 9.586601136125508e+18 4.891671321328299e+18 8.964957999809061e+18 3.477096975002028e+18 2.22405555207209e+19 0.04845613870834579
9.299999999999988 2725200585559758.5 1.434170009266848e+17 1.7759043622083822e+18 7.095804011678167e+18 3.5344197269722967e+18 6.661410088297478e+18 2.5635774600254433e+18 1.7805492603414024e+19 0.06359403800108358
9.399999999999988 1113626349055418.2 8.54616880155743e+16 1.296858661361914e+18 5.260345082248541e+18 2.486945038153583e+18 4.954571232763252e+18 1.8505338911865083e+18 1.4150827881244647e+19 0.06336940215877293
9.499999999999988 520929282341262.8 5.28802945031285e+16 9.357144784130277e+17 3.8510704591750036e+18 1.7419676656265728e+18 3.635900239278123e+18 1.3234535099734267e+18 1.0937799784413428e+19 0.055645956613645325
9.599999999999987 248902752037121.0 3.2260124413715516e+16 6.713541938114828e+17 2.833072200258441e+18 1.221509745616091e+18 2.6821623198063816e+18 9.465825734196147e+17 8.470663220727183e+18 0.06624642275471856
9.699999999999987 152515502785853.56 2.0151448304716996e+16 4.9505211116708416e+17 2.1379768695754286e+18 8.803338396543638e+17 2.0291325640388751e+18 6.957329177606309e+17 6.678609343972623e+18 0.07466948499001648
9.799999999999986 103791405590755.0 1.4697149539094038e+16 3.929685051593647e+17 1.7170439341759542e+18 6.927867175426915e+17 1.631457878297179e+18 5.518379217267684e+17 5.408818857321307e+18 0.0499604713976308
9.899999999999986 64260353284252.82 1.0278380410439864e+16 2.7473759108442314e+17 1.143908751117681e+18 4.7674463480897965e+17 1.0862283458981102e+18 3.801996221250234e+17 3.3290850893985044e+18 0.0773238390701962
9.999999999999986 64260353284252.82 1.0278380410439864e+16 2.7473759108442314e+17 1.143908751117681e+18 4.7674463480897965e+17 1.0862283458981102e+18 3.801996221250234e+17 3.3290850893985044e+18 0.0773238390701962
