log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V HbetaEW
6.0 3.602866879696703e+20 1.1368703850455803e+21 2.093045979456191e+21 1.4928517275267975e+21 2.7849816639371136e+21 2.1353796804538223e+21 2.4903640165757364e+21 5.000576293395425e+21 544.1930374868884
6.1 3.654042589719692e+20 1.1553142476709842e+21 2.1300212161490825e+21 1.5170396366194858e+21 2.8353702533864704e+21 2.1723540137720126e+21 2.534556411509643e+21 5.100660236424635e+21 545.4826419630926
6.199999999999999 3.770520537409697e+20 1.1966593280340124e+21 2.2089841415677666e+21 1.5714417889729734e+21 2.939682335526037e+21 2.2517209093857602e+21 2.627523260911385e+21 5.296759818573227e+21 545.8141568612758
6.299999999999999 3.9447509206408154e+20 1.2573427978322297e+21 2.3084122823117767e+21 1.6780072546687656e+21 3.0697616548153566e+21 2.374728167795792e+21 2.7428203809515006e+21 5.498240678728934e+21 522.9938555031863
6.399999999999999 4.1130901976822625e+20 1.3151232520521476e+21 2.389567940758797e+21 1.8101632594619107e+21 3.178399585534532e+21 2.504289137567447e+21 2.835819310182908e+21 5.6615617567689e+21 480.1959657394222
6.499999999999998 4.1188577395052256e+20 1.3187297138640303e+21 2.373215483531561e+21 1.8655787431190483e+21 3.159106381488148e+21 2.529681022435351e+21 2.814349019134828e+21 5.582222912142916e+21 445.02169159887234
6.599999999999998 3.929165890858483e+20 1.2617256464668573e+21 2.258176960431598e+21 1.8882954112209534e+21 3.0470999928094374e+21 2.4925331792978505e+21 2.691720351304946e+21 5.270625002987882e+21 405.35375141825614
6.6999999999999975 3.617724180961966e+20 1.1648676202911092e+21 2.0791407428712105e+21 1.891840528058472e+21 2.878161415560557e+21 2.419246922186157e+21 2.504913842810977e+21 4.863833299369213e+21 359.77947547682726
6.799999999999997 3.2408853375792644e+20 1.0428819516169936e+21 1.8536508748687268e+21 1.8037143334537294e+21 2.617067121454703e+21 2.2511106362943335e+21 2.252173302948294e+21 4.365945546630953e+21 323.8976063068949
6.899999999999997 2.8490985857159895e+20 9.147823077476672e+20 1.615622960372956e+21 1.643107882635826e+21 2.3051124268607988e+21 2.0158279359554118e+21 1.9715147121846557e+21 3.812392137919922e+21 298.3825165337663
6.9999999999999964 2.4736533599451667e+20 7.926181474544462e+20 1.3902177152781582e+21 1.46315683850916e+21 1.9984348915862416e+21 1.7701412259642878e+21 1.701425089952754e+21 3.2684676441466927e+21 278.42688054687557
7.099999999999996 2.1263786061286267e+20 6.811023632429409e+20 1.1878589331817795e+21 1.2914958150915305e+21 1.720870016324712e+21 1.5421955485228409e+21 1.4580163190558475e+21 2.7790808564684816e+21 260.5248891020959
7.199999999999996 1.8143452963009443e+20 5.8171193455381296e+20 1.0096901808609232e+21 1.1306379495184314e+21 1.4731899296532264e+21 1.334133188066309e+21 1.2423557338978874e+21 2.3467083545695059e+21 244.77711359368837
7.299999999999995 1.5399295161542427e+20 4.943333694061796e+20 8.544625452302491e+20 9.807385916358628e+20 1.2534060449327995e+21 1.1455139661989047e+21 1.0529946232408429e+21 1.9719331638564243e+21 231.71902255506313
7.399999999999995 1.3049356374541861e+20 4.193091080066254e+20 7.222487175888406e+20 8.468801287407954e+20 1.0636735719300103e+21 9.80441446015068e+20 8.907559428185273e+20 1.6577613569575955e+21 220.8775418514461
7.499999999999995 1.1077533902576229e+20 3.5642240979093075e+20 6.125281593665845e+20 7.353684936312071e+20 9.069613350859858e+20 8.438350085602164e+20 7.564396700845079e+20 1.4037031749006503e+21 210.38528748884704
7.599999999999994 9.438944322946988e+19 3.0442422654633876e+20 5.2287416195246064e+20 6.44956626379799e+20 7.803603220468879e+20 7.334355538324953e+20 6.473728977162034e+20 1.200840354352982e+21 199.8200078830823
7.699999999999994 8.083770585784122e+19 2.6143997579000522e+20 4.492737727697632e+20 5.694259388232792e+20 6.763709584003889e+20 6.421067813662936e+20 5.579533710745419e+20 1.0364117050647147e+21 190.13857389330113
7.799999999999994 6.974053524093148e+19 2.2620810541197525e+20 3.892475956441066e+20 5.0684857100448045e+20 5.914402920600193e+20 5.670842651358422e+20 4.8508277795094213e+20 9.040117488632359e+20 181.34914199840472
