log10tau_V FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
-2.999999999999999 1.498359088278808e+21 1.1590375428830769e+21 1.0689299824892848e+21 1.2275110176870658e+21 1.4745160072567833e+21 1.3456623968483727e+21 1.2566109616816652e+21 1.0836101710366259e+21 138.33955110082277 449.8074460214255 140.8444695877844 728.9914667100327
-2.899999999999999 1.496926948036398e+21 1.1583730398534149e+21 1.0684949552317307e+21 1.2270948002706516e+21 1.473970706634027e+21 1.3452000878087583e+21 1.2561233221676947e+21 1.0833291679797179e+21 138.33955110082275 449.8074460214254 140.8444695877844 728.9914667100326
-2.799999999999999 1.4951259481945043e+21 1.1575370244438753e+21 1.0679475401641508e+21 1.2265710142640035e+21 1.4732845006163044e+21 1.3446183010860437e+21 1.2555096903033107e+21 1.0829755099409119e+21 138.33955110082277 449.80744602142545 140.8444695877844 728.9914667100326
-2.699999999999999 1.4928617229481785e+21 1.1564854054821666e+21 1.0672587842955039e+21 1.2259119246612745e+21 1.4724210727442205e+21 1.343886232827262e+21 1.254737601122696e+21 1.0825304453855149e+21 138.33955110082277 449.80744602142545 140.84446958778443 728.9914667100327
-2.5999999999999988 1.490016136521116e+21 1.1551628606800096e+21 1.0663923237822872e+21 1.225082683591768e+21 1.4713348010759763e+21 1.3429651803021779e+21 1.2537662756541833e+21 1.0819704029704275e+21 138.33955110082277 449.8074460214254 140.8444695877844 728.9914667100326
-2.4999999999999987 1.4864415129477686e+21 1.1535000363081419e+21 1.065302515056145e+21 1.2240395285079164e+21 1.4699684057347407e+21 1.3418065415777527e+21 1.2525445218109426e+21 1.081265764247825e+21 138.33955110082275 449.80744602142545 140.84446958778443 728.9914667100327
-2.3999999999999986 1.481953592912059e+21 1.1514100841612136e+21 1.0639321110851133e+21 1.2227275370338326e+21 1.4682500204582131e+21 1.3403493233613362e+21 1.2510081229082277e+21 1.0803793306290833e+21 138.33955110082277 449.8074460214254 140.84446958778443 728.9914667100326
-2.2999999999999985 1.476323013688642e+21 1.1487844000780873e+21 1.0622093817705072e+21 1.2210778371150064e+21 1.4660895581673858e+21 1.338517044779573e+21 1.2490765991458552e+21 1.0792644124328012e+21 138.33955110082277 449.80744602142545 140.84446958778437 728.9914667100326
-2.1999999999999984 1.4692651253009922e+21 1.1454874135005915e+21 1.0600445609441156e+21 1.2190041525886116e+21 1.4633742179133712e+21 1.336213904488608e+21 1.2466492080311902e+21 1.077862453186475e+21 138.33955110082277 449.8074460214254 140.8444695877844 728.9914667100326
-2.0999999999999983 1.460428014858823e+21 1.1413502702545982e+21 1.0573254870368582e+21 1.2163985453631382e+21 1.4599629582643162e+21 1.3333200577971455e+21 1.243600031177194e+21 1.0761000862096218e+21 138.33955110082277 449.8074460214254 140.8444695877844 728.9914667100326
-1.9999999999999982 1.4493787409656843e+21 1.1361632588908584e+21 1.0539122935167498e+21 1.2131261983857354e+21 1.4556797437942424e+21 1.3296858320759347e+21 1.2397719806196842e+21 1.0738855037893111e+21 138.33955110082277 449.80744602142545 140.8444695877844 728.9914667100326
-1.8999999999999981 1.4355880256223993e+21 1.1296668675281804e+21 1.0496310043206033e+21 1.209019072717824e+21 1.4503053631004997e+21 1.325124697417006e+21 1.2349695537592465e+21 1.0711040038239377e+21 138.3395511008228 449.8074460214255 140.8444695877844 728.9914667100327
-1.799999999999998 1.418414077468804e+21 1.1215414437314826e+21 1.0442659081645033e+21 1.203868274598302e+21 1.4435676292891403e+21 1.3194048134965764e+21 1.2289501822879185e+21 1.0676125680680037e+21 138.33955110082277 449.80744602142545 140.84446958778443 728.9914667100327
-1.699999999999998 1.3970869189176368e+21 1.111395595968623e+21 1.0375506389580967e+21 1.1974149963249245e+21 1.4351298243493395e+21 1.312239006382902e+21 1.2214140732280804e+21 1.0632333259565902e+21 138.33955110082277 449.8074460214255 140.84446958778443 728.9914667100327
-1.5999999999999979 1.3706956806566445e+21 1.0987537681179746e+21 1.0291580011375717e+21 1.1893399672294516e+21 1.4245773644366519e+21 1.3032731121016302e+21 1.2119925548799691e+21 1.0577457781986255e+21 138.33955110082277 449.8074460214254 140.84446958778443 728.9914667100326
-1.4999999999999978 1.3381829513990483e+21 1.0830439042245997e+21 1.0186887840903844e+21 1.1792514974982752e+21 1.4114028852789382e+21 1.2920727902926204e+21 1.2002351555452357e+21 1.0508777105695052e+21 138.3395511008228 449.80744602142545 140.8444695877844 728.9914667100327
