log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
6.0 2.492567869162893e+20 6.097763046582969e+20 7.778171786454815e+20 7.725445957936791e+20 8.632604818988933e+20 8.413534653780342e+20 8.220625688649424e+20 7.513419539494592e+20 132.83883175856155 67.63999708812274 21.84308357434423 222.32191242102851
6.1 2.5144836132519907e+20 6.159738603286945e+20 7.861221876496901e+20 7.803257532723193e+20 8.723972180841932e+20 8.501494146006436e+20 8.308158847586944e+20 7.5916104234839e+20 133.37350899796485 68.03528483938565 21.97583499779961 223.38462883515012
6.199999999999999 2.561332242954911e+20 6.295717298394017e+20 8.046040742272289e+20 7.975460064891773e+20 8.927294250121548e+20 8.697344069327895e+20 8.502957319616019e+20 7.766766018321769e+20 134.74296156613414 69.02434628649632 22.297776760101883 226.06508461273233
6.299999999999999 2.644961326935419e+20 6.558367158875036e+20 8.422634235703174e+20 8.491806803528592e+20 9.455944277064913e+20 9.239615704908983e+20 8.94369139955828e+20 8.302621851652239e+20 131.50750346174476 67.58173056978617 21.818038114533326 220.90727214606426
6.399999999999999 2.775005129095064e+20 7.101535842451189e+20 9.397210449339461e+20 1.0811004964186304e+21 1.1553129016731883e+21 1.1533707788223409e+21 1.0360226019845588e+21 1.0754801488871594e+21 105.17430421135016 53.61927176601358 17.202904564563127 175.99648054192687
6.499999999999998 2.828882386880817e+20 7.519496347336399e+20 1.0364543769628971e+21 1.4148802365725512e+21 1.4434485185621388e+21 1.4775742839767307e+21 1.2076208336347569e+21 1.4401724920546072e+21 77.22874533359769 38.75622784332211 12.378687130217868 128.36366030713765
6.599999999999998 2.7493216664257004e+20 7.483151384356103e+20 1.0601556431586139e+21 1.6310296599929228e+21 1.6133340613259556e+21 1.6813935043995697e+21 1.2883929564373398e+21 1.6943158837375808e+21 61.183399784151256 30.15629002725059 9.626339983006522 100.96602979440837
6.6999999999999975 2.5890616467344284e+20 7.128382503919054e+20 1.0220692339168467e+21 1.6605322047003089e+21 1.6146524212397974e+21 1.700499120520128e+21 1.2652912108422095e+21 1.7549344690778202e+21 53.213250791504905 25.851202700564752 8.249086841407971 87.31354033347762
6.799999999999997 2.3783079941202598e+20 6.584270763782409e+20 9.462636345331328e+20 1.5544442760777533e+21 1.5011971875290156e+21 1.5869984079872807e+21 1.173882757968046e+21 1.6589863929703993e+21 49.06936827855943 23.620668700867096 7.525315448172814 80.21535242759934
6.899999999999997 2.1419701359966716e+20 5.951275759883818e+20 8.533555456631907e+20 1.3944776855720692e+21 1.3438331383970805e+21 1.421024473403837e+21 1.0546414142290069e+21 1.4874802260506095e+21 46.186142360681224 22.078514381720435 7.016925516931749 75.2815822593334
6.9999999999999964 1.892639081313748e+20 5.274040175002852e+20 7.533133128119858e+20 1.2181264409940373e+21 1.1732359855618253e+21 1.239440279938445e+21 9.258421257461109e+20 1.2924257536696504e+21 43.72128233178086 20.78102582884056 6.586958118235931 71.08926627885735
7.099999999999996 1.641610146587207e+20 4.59258805557278e+20 6.538548208463092e+20 1.047791033082064e+21 1.0085060185210843e+21 1.064420904477921e+21 7.997432774851937e+20 1.1040877078395557e+21 41.26265268788913 19.525716590503468 6.171128845604704 66.95949812399729
7.199999999999996 1.4009073287645051e+20 3.9363881041615074e+20 5.589062970558651e+20 8.897044541402479e+20 8.553769815593602e+20 9.022609298045184e+20 6.810395114522678e+20 9.30564714482968e+20 38.80361786503396 18.30307127860372 5.7680012470814885 62.87469039071917
