fesc FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
0.28 1.4459595214423188e+21 1.0911069694958649e+21 9.718165938048683e+20 1.1897311821426362e+21 1.356377411607135e+21 1.2716428444155395e+21 1.1432286443994659e+21 1.034118019698065e+21 103.86055116162521 337.2129662506171 105.36646452142065 546.4399819336629
0.29 1.4438920903693173e+21 1.0885900112231316e+21 9.682887956790692e+20 1.1883250198913606e+21 1.3520836469245173e+21 1.2689361067526256e+21 1.1391126245316644e+21 1.032312046878626e+21 102.57457872379321 333.0197804319698 104.04809502505144 539.6424541808145
0.3 1.4418246592963155e+21 1.0860730529503984e+21 9.647609975532703e+20 1.186918857640085e+21 1.3477898822418996e+21 1.266229369089712e+21 1.1349966046638628e+21 1.0305060740591872e+21 101.28466932124742 328.81421032129856 102.72603936871229 532.8249190112583
0.31 1.439757228223314e+21 1.083556094677665e+21 9.612331994274714e+20 1.1855126953888092e+21 1.3434961175592816e+21 1.2635226314267977e+21 1.1308805847960612e+21 1.0287001012397483e+21 99.9908048469278 324.5962009732055 101.40028207101003 525.9872878911433
0.32 1.4376897971503125e+21 1.0810391364049319e+21 9.577054013016725e+20 1.184106533137534e+21 1.3392023528766639e+21 1.2608158937638838e+21 1.1267645649282597e+21 1.0268941284203094e+21 98.69296708256537 320.3656971167763 100.07080756373695 519.1294717630786
0.33 1.4356223660773107e+21 1.0785221781321988e+21 9.541776031758735e+20 1.182700370886258e+21 1.334908588194046e+21 1.2581091561009696e+21 1.122648545060458e+21 1.0250881556008707e+21 97.3911376978273 316.12264315316577 98.73760019126125 512.2513810422544
0.34 1.4335549350043092e+21 1.0760052198594655e+21 9.506498050500745e+20 1.1812942086349825e+21 1.3306148235114282e+21 1.255402418438056e+21 1.1185325251926565e+21 1.0232821827814317e+21 96.08529824945377 311.8669831531628 97.4006442099125 505.3529256125291
0.35000000000000003 1.4314875039313077e+21 1.0734882615867323e+21 9.471220069242755e+20 1.1798880463837068e+21 1.3263210588288102e+21 1.2526956807751417e+21 1.114416505324855e+21 1.0214762099619928e+21 94.77543018038709 307.5986608547322 96.05992378736204 498.43401482248134
0.36 1.4294200728583057e+21 1.0709713033139993e+21 9.435942087984765e+20 1.1784818841324312e+21 1.3220272941461925e+21 1.2499889431122278e+21 1.1103004854570535e+21 1.0196702371425539e+21 93.46151481889255 303.31761966053585 94.7154230019979 491.49455748142634
0.37 1.4273526417853044e+21 1.068454345041266e+21 9.400664106726775e+20 1.1770757218811558e+21 1.3177335294635745e+21 1.2472822054493138e+21 1.1061844655892517e+21 1.0178642643231153e+21 92.14353337767135 299.0238026354305 93.36712584229463 484.5344618553965
0.38 1.4252852107123027e+21 1.0659373867685328e+21 9.365386125468786e+20 1.1756695596298801e+21 1.3134397647809565e+21 1.2445754677864e+21 1.1020684457214504e+21 1.0160582915036763e+21 90.82146695296498 294.71715250394476 92.01501620617763 477.55363566308733
0.39 1.4232177796393012e+21 1.0634204284957995e+21 9.330108144210796e+20 1.1742633973786044e+21 1.3091460000983388e+21 1.2418687301234857e+21 1.0979524258536489e+21 1.0142523186842374e+21 89.49529652365167 290.39761164773114 90.65907790038219 470.55198607176504
0.4 1.4211503485662997e+21 1.0609034702230663e+21 9.294830162952805e+20 1.172857235127329e+21 1.3048522354157208e+21 1.239161992460572e+21 1.093836405985847e+21 1.0124463458647985e+21 88.16500295033387 286.06512210299746 89.299294639807 463.5294196931383
0.41000000000000003 1.419082917493298e+21 1.058386511950333e+21 9.259552181694817e+20 1.1714510728760531e+21 1.300558470733103e+21 1.2364552547976578e+21 1.0897203861180458e+21 1.0106403730453598e+21 86.83056697441776 281.7196255579137 87.9356500468622 456.4858425791936
0.42 1.4170154864202964e+21 1.0558695536775999e+21 9.224274200436828e+20 1.1700449106247776e+21 1.296264706050485e+21 1.233748517134744e+21 1.0856043662502442e+21 1.0088344002259208e+21 85.49196921718371 277.3610633499958 86.56812765081186 449.4211602179913
0.43 1.414948055347295e+21 1.0533525954048667e+21 9.188996219178838e+20 1.1686387483735019e+21 1.2919709413678674e+21 1.23104177947183e+21 1.0814883463824426e+21 1.007028427406482e+21 84.14919017884827 272.98937646346593 85.1967108871109 442.33527752942507
0.44 1.412880624274293e+21 1.0508356371321334e+21 9.153718237920847e+20 1.1672325861222263e+21 1.2876771766852497e+21 1.228335041808916e+21 1.0773723265146411e+21 1.0052224545870431e+21 82.80221023761735 268.6045055265893 83.82138309673607 435.22809886094274
0.45 1.410813193201292e+21 1.0483186788594003e+21 9.118440256662859e+20 1.1658264238709507e+21 1.2833834120026317e+21 1.2256283041460018e+21 1.0732563066468395e+21 1.0034164817676042e+21 81.45100964873038 264.2063908089856 82.44212752551171 428.09952798322763
0.46 1.40874576212829e+21 1.0458017205866672e+21 9.083162275404868e+20 1.1644202616196752e+21 1.2790896473200137e+21 1.222921566483088e+21 1.0691402867790378e+21 1.0016105089481654e+21 80.09556854349553 259.7949722189175 81.05892732342909 420.9494680858421
0.47000000000000003 1.4066783310552884e+21 1.0432847623139338e+21 9.047884294146878e+20 1.1630140993683997e+21 1.274795882637396e+21 1.220214828820174e+21 1.0650242669112364e+21 9.998045361287266e+20 78.73586692831587 255.37018930055368 79.67176554396049 413.77782177283007
0.48 1.4046108999822868e+21 1.0407678040412005e+21 9.012606312888888e+20 1.1616079371171239e+21 1.270502117954778e+21 1.21750809115726e+21 1.0609082470434349e+21 9.979985633092876e+20 77.37188468370634 250.93198123120666 78.280625143367 406.58449105828004
0.49 1.4025434689092853e+21 1.0382508457684673e+21 8.977328331630897e+20 1.1602017748658483e+21 1.2662083532721603e+21 1.2148013534943458e+21 1.0567922271756331e+21 9.961925904898488e+20 76.00360156330129 246.48028681854652 76.88548898000046 399.36937736184825
