log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
6.0 1.9667267904525393e+21 2.569753021953783e+21 2.3022047573850037e+21 2.1372009573521157e+21 2.44485507139596e+21 2.2290091885164235e+21 2.427041680351782e+21 1.6726298650028322e+21 51.12800419501672 329.1486115603405 105.29436877111881 485.570984526476
6.1 2.016603077822222e+21 2.656951007615026e+21 2.381286212253058e+21 2.2167887573610274e+21 2.5260827151550985e+21 2.3087696652460058e+21 2.5077742753257866e+21 1.7347083792343664e+21 48.86418232001678 308.6089259709578 98.73285442405871 456.20596271503325
6.199999999999999 2.1278119710399146e+21 2.859339439741964e+21 2.5667145050407064e+21 2.4066008210770006e+21 2.719294622789213e+21 2.498654236409144e+21 2.6980276573937667e+21 1.8830812318273155e+21 43.89661693837177 265.8973665068812 85.09147550524276 394.8854589504958
6.299999999999999 2.2598672212966753e+21 3.124467388191587e+21 2.8153087644352297e+21 2.6701634630228676e+21 2.9861733465849285e+21 2.761370416321161e+21 2.9555372188249337e+21 2.0899560999431963e+21 37.754371324827666 218.18712564765036 69.72276428484614 325.6642612573242
6.399999999999999 2.3498217281617e+21 3.3509503653391636e+21 3.0444677396233826e+21 2.937894057980337e+21 3.2511225230783813e+21 3.026365400196589e+21 3.196822109518903e+21 2.307001629724232e+21 32.02167120565703 180.32133261651347 57.28199651782812 269.6250003399986
6.499999999999998 2.3299115200130871e+21 3.406893619301161e+21 3.1339211301405364e+21 3.100990868243524e+21 3.3953914884368514e+21 3.1835101555741814e+21 3.3021739279293775e+21 2.457228535977726e+21 27.64568577650154 155.97755104878726 49.18164119409493 232.80487801938375
6.599999999999998 2.2038099832833885e+21 3.270919347293766e+21 3.036548226620173e+21 3.0686006102614894e+21 3.3316296038735403e+21 3.1425071139399354e+21 3.211842928061508e+21 2.4547282517571294e+21 24.729853103680714 139.58588622950919 43.8401595273539 208.1558988605438
6.6999999999999975 2.0161839164984428e+21 3.0150880157834197e+21 2.809746214620957e+21 2.878948283221754e+21 3.105756847672863e+21 2.943136499765184e+21 2.9795354112747137e+21 2.3276707640590506e+21 22.62308751682914 126.158572540342 39.60092472119586 188.382584778367
6.799999999999997 1.8002282703741447e+21 2.7065288203594844e+21 2.5285135135585626e+21 2.62465360697674e+21 2.8143369761350086e+21 2.6789412424227823e+21 2.688419744847174e+21 2.1541229148288513e+21 20.757374338204457 114.24690391360942 35.85628287580231 170.86056112761617
6.899999999999997 1.5765635785078958e+21 2.3830252352706e+21 2.231890356928624e+21 2.3452620272312207e+21 2.5008666403804346e+21 2.3902270872721325e+21 2.3793087790987225e+21 1.964263556642228e+21 19.118322970973846 104.57473977213779 32.77460118652882 156.46766392964045
6.9999999999999964 1.359771697514697e+21 2.0678285602716047e+21 1.9429582545954655e+21 2.0666568522315625e+21 2.191379427984933e+21 2.1031449946603344e+21 2.0764858394324702e+21 1.771546847897004e+21 17.705735638906507 96.74201965345065 30.22807416503709 144.67582945739426
7.099999999999996 1.1592702431332717e+21 1.774160374882699e+21 1.6744585083083775e+21 1.8037242501722357e+21 1.9001956137936515e+21 1.8326182800631886e+21 1.7930853820327327e+21 1.5786491455633836e+21 16.524190880151927 90.36518411078855 28.103339394989206 134.99271438592967
