fesc FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
0.2 2.2468187087015952e+20 2.0769012749904518e+20 2.2401470456628825e+20 5.1470751974886795e+20 4.2135181739519685e+20 4.965415033358117e+20 2.9984913396826427e+20 5.007535482372135e+20 1.6757303755847568 1.6809724932012748 0.5234754139688144 3.880178282754846
0.21 2.2466924427503954e+20 2.0767461184494623e+20 2.2399250964192022e+20 5.146998168835477e+20 4.2132973277349144e+20 4.9652600623880254e+20 2.998195766391166e+20 5.0074345213110675e+20 1.6548174467394974 1.6599891713395407 0.5169404072036279 3.8317470252826658
0.22 2.2465661767991948e+20 2.0765909619084725e+20 2.239703147175523e+20 5.1469211401822745e+20 4.21307648151786e+20 4.965105091417935e+20 2.99790019309969e+20 5.00733356025e+20 1.6339036660635093 1.6390051204845122 0.5104051871429678 3.7833139736909893
0.23 2.2464399108479946e+20 2.0764358053674824e+20 2.2394811979318428e+20 5.146844111529071e+20 4.212855635300807e+20 4.9649501204478453e+20 2.997604619808214e+20 5.007232599188933e+20 1.6129890335047457 1.618020340598201 0.5038697537763912 3.7348791278793376
0.24 2.2463136448967937e+20 2.0762806488264927e+20 2.2392592486881637e+20 5.1467670828758676e+20 4.212634789083753e+20 4.964795149477754e+20 2.997309046516738e+20 5.007131638127865e+20 1.5920735490111553 1.597034831642613 0.49733410709345477 3.686442487747223
0.25 2.2461873789455938e+20 2.076125492285503e+20 2.2390372994444837e+20 5.1466900542226655e+20 4.2124139428666986e+20 4.9646401785076626e+20 2.997013473225263e+20 5.007030677066798e+20 1.5711572125306836 1.576048593579754 0.49079824708371445 3.638004053194152
0.26 2.246061112994393e+20 2.0759703357445135e+20 2.2388153502008033e+20 5.146613025569463e+20 4.2121930966496444e+20 4.964485207537574e+20 2.9967178999337864e+20 5.00692971600573e+20 1.5502400240112713 1.5550616263716244 0.48426217373672537 3.589563824119621
0.27 2.245934847043193e+20 2.0758151792035234e+20 2.238593400957124e+20 5.14653599691626e+20 4.21197225043259e+20 4.9643302365674806e+20 2.996422326642311e+20 5.006828754944662e+20 1.5293219834008547 1.5340739299802242 0.4777258870420419 3.541121800423121
0.28 2.2458085810919922e+20 2.0756600226625336e+20 2.238371451713444e+20 5.1464589682630564e+20 4.211751404215536e+20 4.964175265597392e+20 2.9961267533508346e+20 5.0067277938835954e+20 1.5084030906473664 1.51308550436755 0.4711893869892181 3.4926779820041345
0.29 2.2456823151407923e+20 2.075504866121544e+20 2.2381495024697645e+20 5.1463819396098536e+20 4.2115305579984834e+20 4.9640202946273005e+20 2.9958311800593587e+20 5.0066268328225276e+20 1.487483345698734 1.4920963494955952 0.46465267356780676 3.444232368762136
0.3 2.245556049189592e+20 2.0753497095805544e+20 2.2379275532260842e+20 5.1463049109566515e+20 4.211309711781429e+20 4.9638653236572094e+20 2.9955356067678834e+20 5.00652587176146e+20 1.4665627485028812 1.4711064653263524 0.45811574676736083 3.395784960596594
0.31 2.2454297832383916e+20 2.0751945530395646e+20 2.2377056039824048e+20 5.1462278823034474e+20 4.211088865564375e+20 4.96371035268712e+20 2.9952400334764075e+20 5.006424910700392e+20 1.4456412990077279 1.450115851821809 0.4515786065774317 3.3473357574069684
0.32 2.2453035172871907e+20 2.0750393964985745e+20 2.237483654738725e+20 5.146150853650245e+20 4.210868019347321e+20 4.963555381717029e+20 2.9949444601849315e+20 5.006323949639324e+20 1.4247189971611895 1.4291245089439506 0.44504125298757063 3.2988847590927106
0.33 2.2451772513359908e+20 2.0748842399575848e+20 2.237261705495045e+20 5.1460738249970424e+20 4.210647173130267e+20 4.9634004107469377e+20 2.994648886893455e+20 5.0062229885782576e+20 1.4037958429111768 1.4081324366547625 0.4385036859873279 3.2504319655532674
0.34 2.24505098538479e+20 2.074729083416595e+20 2.2370397562513657e+20 5.1459967963438396e+20 4.210426326913213e+20 4.963245439776847e+20 2.99435331360198e+20 5.00612202751719e+20 1.3828718362055963 1.3871396349162242 0.4319659055662535 3.201977376688074
0.35000000000000003 2.24492471943359e+20 2.0745739268756056e+20 2.2368178070076857e+20 5.1459197676906375e+20 4.2102054806961586e+20 4.963090468806756e+20 2.994057740310504e+20 5.006021066456122e+20 1.361946976992351 1.3661461036903133 0.4254279117138962 3.1535209923965604
0.36 2.2447984534823892e+20 2.0744187703346158e+20 2.236595857764006e+20 5.1458427390374334e+20 4.2099846344791045e+20 4.962935497836666e+20 2.993762167019027e+20 5.0059201053950535e+20 1.3410212652193392 1.345151842939007 0.4188897044198046 3.1050628125781508
0.37 2.244672187531189e+20 2.0742636137936257e+20 2.2363739085203263e+20 5.145765710384231e+20 4.209763788262051e+20 4.9627805268665755e+20 2.993466593727551e+20 5.0058191443339864e+20 1.3200947008344548 1.3241568526242764 0.4123512836735262 3.0566028371322576
0.38 2.244545921579989e+20 2.074108457252636e+20 2.2361519592766466e+20 5.1456886817310284e+20 4.209542942044996e+20 4.9626255558964845e+20 2.993171020436076e+20 5.005718183272919e+20 1.2991672837855879 1.3031611327080928 0.4058126494646081 3.008141065958289
0.39 2.2444196556287882e+20 2.0739533007116462e+20 2.2359300100329665e+20 5.145611653077825e+20 4.209322095827943e+20 4.962470584926394e+20 2.9928754471446e+20 5.005617222211852e+20 1.278239014020623 1.282164683152423 0.39927380178259647 2.9596774989556422
0.4 2.2442933896775877e+20 2.0737981441706567e+20 2.235708060789287e+20 5.1455346244246235e+20 4.2091012496108886e+20 4.962315613956303e+20 2.992579873853124e+20 5.005516261150784e+20 1.2573098914874428 1.2611675039192316 0.3927347406170371 2.9112121360237113
0.41000000000000003 2.2441671237263878e+20 2.0736429876296666e+20 2.2354861115456075e+20 5.1454575957714194e+20 4.2088804033938345e+20 4.962160642986212e+20 2.992284300561648e+20 5.005415300089717e+20 1.2363799161339233 1.240169594970482 0.386195465957475 2.8627449770618805
0.42 2.244040857775187e+20 2.073487831088677e+20 2.2352641623019274e+20 5.145380567118217e+20 4.2086595571767804e+20 4.962005672016121e+20 2.9919887272701716e+20 5.0053143390286486e+20 1.2154490879079385 1.2191709562681334 0.37965597779345445 2.814276021969526
0.43 2.2439145918239867e+20 2.073332674547687e+20 2.235042213058248e+20 5.1453035384650144e+20 4.208438710959726e+20 4.961850701046031e+20 2.9916931539786963e+20 5.0052133779675814e+20 1.1945174067573558 1.1981715877741421 0.37311627611451864 2.7658052706460166
0.44 2.2437883258727865e+20 2.0731775180066973e+20 2.2348202638145674e+20 5.145226509811811e+20 4.208217864742673e+20 4.96169573007594e+20 2.99139758068722e+20 5.0051124169065136e+20 1.1735848726300404 1.1771714894504632 0.366576360910211 2.7173327229907147
0.45 2.2436620599215863e+20 2.073022361465708e+20 2.2345983145708883e+20 5.145149481158608e+20 4.2079970185256187e+20 4.961540759105849e+20 2.9911020073957445e+20 5.005011455845447e+20 1.1526514854738514 1.1561706612590479 0.3600362321700734 2.6688583789029727
0.46 2.2435357939703857e+20 2.072867204924718e+20 2.2343763653272083e+20 5.1450724525054054e+20 4.2077761723085645e+20 4.9613857881357576e+20 2.990806434104268e+20 5.004910494784379e+20 1.1317172452366457 1.1351691031618452 0.35349588988364755 2.6203822382821382
0.47000000000000003 2.2434095280191855e+20 2.072712048383728e+20 2.234154416083529e+20 5.144995423852201e+20 4.207555326091511e+20 4.961230817165668e+20 2.9905108608127926e+20 5.004809533723311e+20 1.1107821518662744 1.1141668151208017 0.3469553340404742 2.5719043010275504
0.48 2.243283262067985e+20 2.0725568918427386e+20 2.2339324668398492e+20 5.144918395198999e+20 4.207334479874456e+20 4.9610758461955775e+20 2.990215287521317e+20 5.0047085726622437e+20 1.0898462053105848 1.0931637970978614 0.34041456463009373 2.52342456703854
0.49 2.2431569961167847e+20 2.0724017353017485e+20 2.233710517596169e+20 5.144841366545797e+20 4.207113633657403e+20 4.960920875225487e+20 2.98991971422984e+20 5.004607611601176e+20 1.0689094055174198 1.0721600490549648 0.33387358164204534 2.47494303621443
0.5 2.2430307301655842e+20 2.072246578760759e+20 2.233488568352489e+20 5.1447643378925935e+20 4.206892787440349e+20 4.960765904255397e+20 2.989624140938364e+20 5.004506650540109e+20 1.0479717524346186 1.0511555709540508 0.3273323850658681 2.426459708454537
0.51 2.2429044642143837e+20 2.0720914222197693e+20 2.2332666191088094e+20 5.1446873092393914e+20 4.206671941223294e+20 4.9606109332853064e+20 2.989328567646888e+20 5.004405689479041e+20 1.0270332460100158 1.0301503627570545 0.32079097489109987 2.3779745836581703
0.52 2.2427781982631834e+20 2.0719362656787792e+20 2.23304466986513e+20 5.144610280586187e+20 4.2064510950062404e+20 4.960455962315215e+20 2.989032994355413e+20 5.004304728417973e+20 1.0060938861914412 1.0091444244259098 0.3142493511072784 2.329487661724629
