log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
6.0 8.602963200758577e+21 6.255167660942483e+21 4.326193886761512e+21 3.6145777301910785e+21 4.337764649061115e+21 3.795127619293026e+21 4.448577293686985e+21 2.502472226354455e+21 51.128004195016715 329.1486115603405 105.29436877111881 485.570984526476
6.1 8.822116483663396e+21 6.468441938875516e+21 4.4756406721175125e+21 3.7499397847348003e+21 4.4827167700168365e+21 3.931660936201825e+21 4.5975326036329366e+21 2.595911398983016e+21 48.85190710520353 308.49746395407385 98.69724397107909 456.04661503035646
6.199999999999999 9.311824850163037e+21 6.963564583947147e+21 4.826203759955916e+21 4.072908763324878e+21 4.827648424992281e+21 4.2568394551055247e+21 4.948635629195097e+21 2.8193389083690984e+21 43.85844137936446 265.56538302974343 84.98542420773887 394.4092486168468
6.299999999999999 9.895093213796508e+21 7.612435089533547e+21 5.296572197483937e+21 4.521762361839673e+21 5.304493585417716e+21 4.7071297715959067e+21 5.424063570153634e+21 3.131148476761057e+21 37.684719442898405 217.6207819822542 69.54114480955103 324.84664623470366
6.399999999999999 1.0292640465130902e+22 8.165970870292652e+21 5.730217129953786e+21 4.977920248244446e+21 5.778033370691348e+21 5.161505237654843e+21 5.869192471984272e+21 3.458407943459259e+21 31.92437546566022 179.60186125064706 57.05009391422447 268.57633063053174
6.499999999999998 1.0203286673388986e+22 8.29938728939221e+21 5.898335479280518e+21 5.255224442786242e+21 6.03506653680662e+21 5.430289333796235e+21 6.061579667002853e+21 3.684480593980963e+21 27.526602201101664 155.1769203645488 48.92319153218297 231.62671409783346
6.599999999999998 9.642642057478682e+21 7.959579539023819e+21 5.710190423309456e+21 5.19698305212043e+21 5.9174704352064e+21 5.356723510053886e+21 5.890044730994056e+21 3.6785540036144996e+21 24.593354856652144 138.7078240861257 43.55780511499225 206.8589840577701
6.6999999999999975 8.807350021479903e+21 7.323368886839462e+21 5.274290911336482e+21 4.868011766341685e+21 5.507015344936852e+21 5.008727663940798e+21 5.453983159309247e+21 3.4830144100483124e+21 22.465107181245465 125.14358749584915 39.27696278148071 186.8856574585753
6.799999999999997 7.843290401885985e+21 6.55524935261963e+21 4.733205534900783e+21 4.426891465548077e+21 4.977143563019112e+21 4.5475037325700744e+21 4.907284433707467e+21 3.2161270647561545e+21 20.568014398888778 113.03697467867885 35.472142267316734 169.07713134488435
6.899999999999997 6.841407119457483e+21 5.748167670975836e+21 4.1613094963390757e+21 3.9413557671124885e+21 4.4060540736126425e+21 4.0425457787714326e+21 4.3257386179396014e+21 2.923718983253544e+21 18.88748735197269 103.13737559082772 32.31873408093579 154.34359702373618
6.9999999999999964 5.866408453982903e+21 4.959428385451802e+21 3.60262322911057e+21 3.455796434165164e+21 3.840562128362513e+21 3.5389993130407473e+21 3.754447409941419e+21 2.6260060095836633e+21 17.424586652810163 95.04983054037761 29.690112658486527 142.1645298516743
7.099999999999996 4.960911026694033e+21 4.2218848107041123e+21 3.081628371124329e+21 2.9959322947709986e+21 3.306585173286722e+21 3.062813593029469e+21 3.217968972562759e+21 2.3268609847684686e+21 16.18470093185123 88.38250779960744 27.469883509619738 132.0370922410784
7.199999999999996 4.155259530668311e+21 3.5631000080140117e+21 2.618929181642517e+21 2.5899960856934597e+21 2.8337215955835274e+21 2.642339663566697e+21 2.7412854987867685e+21 2.045760474325469e+21 15.041956744405697 82.14988826276087 25.384996153582478 122.57684116074904
7.299999999999995 3.4569845766501606e+21 2.9895597790380394e+21 2.2197850195235869e+21 2.2516446236922733e+21 2.436529151588773e+21 2.2913551126512848e+21 2.3344426201839396e+21 1.8003818886795792e+21 13.885944186058582 75.60569004786367 23.246570603505763 112.73820483742801
7.399999999999995 2.8635918337053887e+21 2.497915493320068e+21 1.8773466802660413e+21 1.964528628539258e+21 2.0993428122113965e+21 1.993601740359763e+21 1.987363487283204e+21 1.5859584588363095e+21 12.767691762964418 69.09013826982864 21.16256851919636 103.02039855198942
