log10Z FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V HbetaEW
-5.0 2.7063271462663828e+20 2.2953645986200696e+20 2.0180008666779048e+20 3.2645404322954484e+20 2.8327879384414182e+20 3.146062224550535e+20 2.3142753762890134e+20 3.125170694230398e+20 1.0506734571683283
-4.5 2.7063271462663828e+20 2.2953645986200696e+20 2.0180008666779048e+20 3.2645404322954484e+20 2.8327879384414182e+20 3.146062224550535e+20 2.3142753762890134e+20 3.125170694230398e+20 1.0506734571683283
-4.0 2.629335182421027e+20 2.3407174552096437e+20 2.2130014800661375e+20 3.999406625244691e+20 3.6286564340415234e+20 3.894858084339206e+20 2.7366950432437836e+20 3.071666772289503e+20 1.7166347429342088
-3.5 2.629335182421027e+20 2.3407174552096437e+20 2.2130014800661375e+20 3.999406625244691e+20 3.6286564340415234e+20 3.894858084339206e+20 2.7366950432437836e+20 3.071666772289503e+20 1.7166347429342088
-3.0 2.2485973672796756e+20 2.0795905969156535e+20 2.244268496262628e+20 5.148008912728898e+20 4.217393271517505e+20 4.967921920907523e+20 3.004000449648194e+20 4.995672894988735e+20 2.0938101481509674
-2.5 1.9720076786605965e+20 1.9440367109267944e+20 2.1727575162982547e+20 4.3821471041076947e+20 3.539327812698228e+20 4.237573634685638e+20 2.716908539691616e+20 4.4375852876871034e+20 2.6531933897132034
-2.0 1.5702880655769135e+20 1.7208676653480736e+20 2.0702094240119885e+20 4.250785404372031e+20 3.422515398592403e+20 4.1075807179518647e+20 2.600587288166089e+20 4.151862009009677e+20 1.8125633581516705
