log10tau_V FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
-4.0 2.0669100512913947e+21 1.582308097985344e+21 1.454629969457121e+21 1.5327331776579667e+21 1.948490121925861e+21 1.721503696325729e+21 1.6925397097578913e+21 1.358762735745963e+21 166.35043509458424 551.1738189322737 173.3153257896136 890.8395798164714
-3.9 2.0667124192972925e+21 1.5822173513489664e+21 1.454570758823819e+21 1.5326811986065464e+21 1.9484180460623306e+21 1.7214445292773932e+21 1.6924739789570494e+21 1.35872750590477e+21 166.35043509458424 551.1738189322734 173.31532578961358 890.8395798164712
-3.8 2.0664636423888015e+21 1.5821031155388485e+21 1.4544962204808674e+21 1.5326157633644108e+21 1.9483273117179018e+21 1.721370045268731e+21 1.6923912324226506e+21 1.3586831554642552e+21 166.3504350945842 551.1738189322737 173.31532578961358 890.8395798164714
-3.6999999999999997 2.0661504936528797e+21 1.5819593129596643e+21 1.4544023876994398e+21 1.5325333892477461e+21 1.9482130899552061e+21 1.7212762800408117e+21 1.6922870664782527e+21 1.3586273236308394e+21 166.3504350945842 551.1738189322735 173.31532578961364 890.8395798164714
-3.5999999999999996 2.0657563306315164e+21 1.5817782949148418e+21 1.4542842678360736e+21 1.5324296926746245e+21 1.9480693027989868e+21 1.721158243876369e+21 1.6921559384688485e+21 1.3585570387867355e+21 166.3504350945842 551.1738189322735 173.31532578961358 890.8395798164713
-3.4999999999999996 2.0652602163488786e+21 1.5815504362948316e+21 1.4541355773826635e+21 1.5322991564008076e+21 1.9478883005865968e+21 1.7210096566608708e+21 1.6919908725783753e+21 1.3584685605923916e+21 166.35043509458418 551.1738189322735 173.31532578961358 890.8395798164713
-3.3999999999999995 2.0646358159023903e+21 1.5812636261883254e+21 1.4539484088147528e+21 1.5321348367799663e+21 1.9476604562195108e+21 1.7208226146821941e+21 1.691783089901426e+21 1.3583571813574527e+21 166.35043509458418 551.1738189322735 173.3153257896136 890.8395798164714
-3.2999999999999994 2.0638500123441113e+21 1.5809026279753476e+21 1.453712811812989e+21 1.5319279956903222e+21 1.9473736550583092e+21 1.720587171691829e+21 1.6915215434052448e+21 1.3582169762227856e+21 166.35043509458424 551.1738189322735 173.3153257896136 890.8395798164714
-3.1999999999999993 2.062861172078349e+21 1.5804482759106067e+21 1.453416267057406e+21 1.5316676378930847e+21 1.9470126538506811e+21 1.7202908123405736e+21 1.6911923335494152e+21 1.358040489040375e+21 166.3504350945842 551.1738189322735 173.31532578961364 890.8395798164714
-3.099999999999999 2.0616169736261497e+21 1.579876467131015e+21 1.4530430253657468e+21 1.5313399297660066e+21 1.9465582754311373e+21 1.7199177906171963e+21 1.690777974285923e+21 1.3578183375248443e+21 166.35043509458418 551.1738189322735 173.31532578961358 890.8395798164713
-2.999999999999999 2.0600516939709796e+21 1.579156898128087e+21 1.4525732782389818e+21 1.5309274693769757e+21 1.945986397697663e+21 1.7194482991203114e+21 1.690256471686266e+21 1.3575387171274922e+21 166.35043509458418 551.1738189322735 173.3153257896136 890.8395798164714
-2.899999999999999 2.0580828235204332e+21 1.5782514827005101e+21 1.4519821176312082e+21 1.530408370482079e+21 1.9452666852256092e+21 1.718857426603584e+21 1.689600168241998e+21 1.3571867779692414e+21 166.35043509458418 551.1738189322735 173.3153257896136 890.8395798164714
-2.799999999999999 2.0556068539601747e+21 1.577112373940234e+21 1.4512382326944566e+21 1.5297551139715694e+21 1.944360999455639e+21 1.7181138509376415e+21 1.688774294636802e+21 1.356743842850297e+21 166.3504350945842 551.1738189322735 173.3153257896136 890.8395798164714
-2.699999999999999 2.0524940533887567e+21 1.5756794956655603e+21 1.4503022790717635e+21 1.5289331092440233e+21 1.9432214083020923e+21 1.7171782020891735e+21 1.687735157154722e+21 1.3561864265894191e+21 166.3504350945842 551.1738189322737 173.3153257896136 890.8395798164714
-2.5999999999999988 2.0485820114381958e+21 1.5738774688141156e+21 1.4491248417636423e+21 1.527898894660786e+21 1.9417876978972707e+21 1.7160010145894598e+21 1.6864278725570905e+21 1.3554850074700698e+21 166.35043509458418 551.1738189322737 173.3153257896136 890.8395798164714
-2.4999999999999987 2.0436677064585327e+21 1.5716117958872956e+21 1.4476438955085757e+21 1.5265978903584666e+21 1.939984267727235e+21 1.714520170962932e+21 1.68478354300873e+21 1.3546024901146302e+21 166.35043509458424 551.1738189322735 173.31532578961358 890.8395798164713
-2.3999999999999986 2.0374978226540163e+21 1.568764142430399e+21 1.445781647043482e+21 1.5249615981365313e+21 1.9377162655451526e+21 1.7126577165656452e+21 1.6827157414544236e+21 1.353492285431051e+21 166.3504350945842 551.1738189322735 173.3153257896136 890.8395798164714
-2.2999999999999985 2.029757036758673e+21 1.5651865306087678e+21 1.4434406219975258e+21 1.5229041220063697e+21 1.934864790507977e+21 1.7103159023981898e+21 1.6801161531501553e+21 1.3520959172315012e+21 166.3504350945842 551.1738189322735 173.3153257896136 890.8395798164714
-2.1999999999999984 2.0200540172925445e+21 1.5606942398011403e+21 1.4404988366999823e+21 1.5203178598890574e+21 1.9312809630788488e+21 1.7073722864259278e+21 1.67684919300694e+21 1.3503400467665728e+21 166.3504350945842 551.1738189322735 173.3153257896136 890.8395798164714
-2.0999999999999983 2.0079049603254974e+21 1.5550571991900013e+21 1.4368038742645762e+21 1.5170681933389737e+21 1.926778630812086e+21 1.7036736974725765e+21 1.672745393473438e+21 1.3481327861981902e+21 166.3504350945842 551.1738189322735 173.31532578961358 890.8395798164713
-1.9999999999999982 1.9927146642718371e+21 1.5479896684445368e+21 1.43216566940105e+21 1.512986980955523e+21 1.921125454856717e+21 1.6990288422377415e+21 1.6675933384842984e+21 1.3453591510916813e+21 166.35043509458416 551.1738189322737 173.3153257896136 890.8395798164713
-1.8999999999999981 1.973755483756432e+21 1.5391380524773464e+21 1.426347805217893e+21 1.5078646476035987e+21 1.9140321111522083e+21 1.6931993215515435e+21 1.661129913617743e+21 1.341875482666639e+21 166.3504350945842 551.1738189322734 173.31532578961358 890.8395798164712
-1.799999999999998 1.950145088767181e+21 1.5280668128901904e+21 1.4190571506382078e+21 1.501440664754845e+21 1.9051393568152908e+21 1.6858888271073897e+21 1.6530286645621587e+21 1.3375026570769672e+21 166.35043509458424 551.1738189322734 173.31532578961364 890.8395798164713
-1.699999999999998 1.9208249158080589e+21 1.5142426649424028e+21 1.409931739534786e+21 1.493392252122265e+21 1.8940027788607907e+21 1.6767303318609464e+21 1.642886127129501e+21 1.3320178987756188e+21 166.3504350945842 551.1738189322735 173.3153257896136 890.8395798164714
-1.5999999999999979 1.8845426974497065e+21 1.4970176480322186e+21 1.3985269443305988e+21 1.4833212211131772e+21 1.8800751949953827e+21 1.6652711935185277e+21 1.6302061465612e+21 1.3251450402986291e+21 166.3504350945842 551.1738189322735 173.3153257896136 890.8395798164714
