log10Z FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V HbetaEW
-5.0 1.1848916094718082e+21 9.080368537768403e+20 7.940973118442332e+20 7.463037793031131e+20 8.849074070926367e+20 8.43860194994524e+20 8.347025918352505e+20 6.511034649969509e+20 201.9503125650798
-4.5 1.1848916094718082e+21 9.080368537768403e+20 7.940973118442332e+20 7.463037793031131e+20 8.849074070926367e+20 8.43860194994524e+20 8.347025918352505e+20 6.511034649969509e+20 201.9503125650798
-4.0 1.16660061782227e+21 9.107239756166001e+20 8.184681259279031e+20 8.969225523105413e+20 1.0329824492013698e+21 9.852002178691075e+20 9.070251522231148e+20 7.946282514582102e+20 150.25684305786496
-3.5 1.16660061782227e+21 9.107239756166001e+20 8.184681259279031e+20 8.969225523105413e+20 1.0329824492013698e+21 9.852002178691075e+20 9.070251522231148e+20 7.946282514582102e+20 150.25684305786496
-3.0 1.0591783975713614e+21 8.298349223842889e+20 7.701418943782974e+20 9.859760784586918e+20 1.1058093891259602e+21 1.0512440112906076e+21 9.186041424728823e+20 1.1334750807310124e+21 106.58660029148692
-2.5 9.646530832095562e+20 7.659218897778484e+20 6.935521989627431e+20 8.42051602049544e+20 9.328961641725478e+20 8.861420963375827e+20 8.216673141820477e+20 1.1345574346697336e+21 87.12943410918983
-2.0 9.0668791182996e+20 7.601149748794505e+20 6.740127275115784e+20 8.514485117676664e+20 8.748577671560672e+20 8.734664487785109e+20 7.840385160037153e+20 9.099677561210103e+20 53.57910995823932
