fesc FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
0.47000000000000003 1.9193747352248933e+21 1.4022136253611046e+21 1.20196516736229e+21 1.4320439396361403e+21 1.6406566634442258e+21 1.5276564011726225e+21 1.3980136911850992e+21 1.2293155060613188e+21 96.12131540392043 317.8911126924672 99.54562004165402 513.5580481380416
0.48 1.9162210668438592e+21 1.398375116000423e+21 1.1965849411632342e+21 1.4298977709988318e+21 1.634101684549671e+21 1.5235276145772106e+21 1.3917423185791555e+21 1.2265587040960017e+21 94.48911358759435 312.47965203488087 97.84164346421458 504.8104090866898
0.49 1.9130673984628248e+21 1.3945366066397412e+21 1.1912047149641784e+21 1.4277516023615232e+21 1.6275467056551163e+21 1.5193988279817986e+21 1.3854709459732125e+21 1.2238019021306845e+21 92.85062034529284 307.0478015819375 96.13157609164982 496.0299980188802
0.5 1.9099137300817904e+21 1.3906980972790594e+21 1.1858244887651224e+21 1.4256054337242144e+21 1.620991726760562e+21 1.5152700413863865e+21 1.379199573367269e+21 1.2210451001653673e+21 91.2057992307197 301.5954458763238 94.41538520853979 487.21663031558336
0.51 1.9067600617007562e+21 1.3868595879183775e+21 1.1804442625660668e+21 1.423459265086906e+21 1.6144367478660071e+21 1.5111412547909745e+21 1.372928200761326e+21 1.2182882982000504e+21 89.55461351552248 296.12246858737495 92.69303786474568 478.3701199676431
0.52 1.9036063933197218e+21 1.383021078557696e+21 1.1750640363670106e+21 1.4213130964495974e+21 1.6078817689714525e+21 1.5070124681955626e+21 1.3666568281553825e+21 1.215531496234733e+21 87.89702618655845 290.6287525028005 90.9645008733009 469.49027956265985
0.53 1.900452724938687e+21 1.3791825691970138e+21 1.1696838101679549e+21 1.4191669278122888e+21 1.601326790076898e+21 1.5028836816001507e+21 1.3603854555494393e+21 1.212774694269416e+21 86.23299994312912 285.1141795203168 89.22974080827977 460.57692027172567
0.54 1.8972990565576527e+21 1.3753440598363325e+21 1.1643035839688992e+21 1.4170207591749798e+21 1.5947718111823436e+21 1.4987548950047388e+21 1.3541140829434956e+21 1.2100178923040987e+21 84.56249719418214 279.5786306391841 87.48872400264266 451.62985183600887
0.55 1.8941453881766183e+21 1.3715055504756504e+21 1.1589233577698435e+21 1.4148745905376712e+21 1.5882168322877888e+21 1.4946261084093269e+21 1.347842710337552e+21 1.2072610903387818e+21 82.88548005548068 274.0219859516463 85.74141654605813 442.6488825531851
0.56 1.8909917197955841e+21 1.3676670411149688e+21 1.1535431315707877e+21 1.4127284219003627e+21 1.5816618533932344e+21 1.490497321813915e+21 1.341571337731609e+21 1.2045042883734644e+21 81.20191034673952 268.44412463427255 83.98778428270128 433.63381926371335
0.5700000000000001 1.8878380514145497e+21 1.363828531754287e+21 1.1481629053717317e+21 1.4105822532630542e+21 1.5751068744986798e+21 1.486368535218503e+21 1.3352999651256658e+21 1.2017474864081475e+21 79.51174958872751 262.844924939201 82.22779280902816 424.58446733695666
