log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
6.0 2.2007999026665748e+21 3.399246118932453e+21 4.5837185180757e+21 2.8690858243377054e+21 5.678820929163385e+21 4.1462836561380424e+21 5.257864103011752e+21 3.238084285247104e+21 544.1930374868883 2019.6647247640387 660.0399096813535 3223.8976719322804
6.1 2.2321281298564123e+21 3.454921280370216e+21 4.6656040309203036e+21 2.9160962726483125e+21 5.782720494921884e+21 4.218911160963433e+21 5.352161768699684e+21 3.2958358450553524e+21 545.4969406138653 2030.3089705386071 662.8358322937885 3238.641743446261
6.199999999999999 2.303702751672882e+21 3.579920241394379e+21 4.840587370563795e+21 3.0219072397114485e+21 5.997943908339649e+21 4.3748702097159304e+21 5.550793770169209e+21 3.4193419232018495e+21 545.8263874955876 2036.1723313528944 664.3592977686963 3246.358016617178
6.299999999999999 2.4117783327311077e+21 3.764182914234285e+21 5.061306583480549e+21 3.2298080897037144e+21 6.266867343147924e+21 4.6168461298872856e+21 5.797816786227633e+21 3.6516400755686e+21 522.6318671579327 1942.0127899743388 632.1449499139402 3096.789607046212
6.399999999999999 2.5164291177429997e+21 3.939946823338287e+21 5.241326495066464e+21 3.4879049582620537e+21 6.491364793288812e+21 4.871561768516698e+21 5.997045803555717e+21 3.9831596059100415e+21 479.165253075686 1766.9948368740515 573.0899185589603 2819.250008508698
6.499999999999998 2.519371396866004e+21 3.949653650235013e+21 5.202481912233857e+21 3.5949301819238955e+21 6.448460599772779e+21 4.919076866842532e+21 5.948466457995862e+21 4.1206193392800833e+21 443.4514145238487 1621.7480032910905 525.226202160628 2590.425619975567
6.599999999999998 2.3994898305231964e+21 3.7723911673310033e+21 4.941018406966248e+21 3.6381903088354266e+21 6.211284422410197e+21 4.842140048322193e+21 5.678806662645893e+21 4.0920125171577064e+21 402.87772195149154 1457.2550468245406 471.07076193533345 2331.2035307113656
6.6999999999999975 2.202207589155931e+21 3.4709165502634425e+21 4.533396651999691e+21 3.6430109572898195e+21 5.852704102455247e+21 4.691801216410181e+21 5.266720264147952e+21 4.01583622106142e+21 356.0152168097323 1269.6601265617671 409.1807819844736 2034.856125355973
6.799999999999997 1.9624635066327113e+21 3.0899066045460974e+21 4.0178421070246424e+21 3.462699773190125e+21 5.29551131951566e+21 4.3478355483400874e+21 4.708014661953902e+21 3.801106691919913e+21 318.8789720383425 1120.2018325150548 360.25683653376444 1799.3376410871617
6.899999999999997 1.711913639392396e+21 2.6880233604415084e+21 3.4710461075551347e+21 3.1341283290773817e+21 4.6260480131165554e+21 3.8646936926490455e+21 4.085507804206295e+21 3.4428060540032097e+21 292.16132090504505 1013.4837675985508 325.4540418332681 1631.0991303368642
