log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
6.0 9.631298602454166e+21 5.296276040334866e+21 3.1856199210431996e+21 2.7212070822139653e+21 3.073585392334302e+21 2.762832209481815e+21 3.1586620276878617e+21 1.7488665046987435e+21 0.0 0.0 0.0 0.0
6.1 9.742376344140716e+21 5.364250297151305e+21 3.226933841424413e+21 2.754995017915242e+21 3.112242204609529e+21 2.7972702387379613e+21 3.1991310556344007e+21 1.7707796625320158e+21 0.0 0.0 0.0 0.0
6.199999999999999 1.003698501626385e+22 5.551938946220849e+21 3.34297787169754e+21 2.8514866123778084e+21 3.2221011977258795e+21 2.8955617238274503e+21 3.3133724944305247e+21 1.834077526608532e+21 0.0 0.0 0.0 0.0
6.299999999999999 1.0644238785381833e+22 5.996655383395574e+21 3.6522981262708913e+21 3.18877485464292e+21 3.5733930367972865e+21 3.2351236291972437e+21 3.640785405796379e+21 2.1296630288356724e+21 0.0 0.0 0.0 0.0
6.399999999999999 1.1331810242877796e+22 6.552929154356862e+21 4.065875349270756e+21 3.698836018880003e+21 4.0737757210442135e+21 3.74530824268067e+21 4.090927279414949e+21 2.688603133503034e+21 0.0 0.0 0.0 0.0
6.499999999999998 1.1555478644340642e+22 6.819769497890208e+21 4.2985580198939863e+21 4.0381694146165043e+21 4.3951653091979533e+21 4.08328669826413e+21 4.3595468551706646e+21 3.08450281992563e+21 0.0 0.0 0.0 0.0
6.599999999999998 1.1223332992679766e+22 6.756751448171294e+21 4.364000522563452e+21 4.385271401728419e+21 4.7174748767317294e+21 4.426264251485915e+21 4.524434845880836e+21 3.375820667910062e+21 0.0 0.0 0.0 0.0
6.6999999999999975 1.0510212566286195e+22 6.444681415464688e+21 4.2852280481166105e+21 4.726790151180143e+21 5.002356475745508e+21 4.758912984381446e+21 4.5866538336917405e+21 3.677512394292885e+21 0.0 0.0 0.0 0.0
6.799999999999997 9.553917349272895e+21 5.928260901323892e+21 4.022758188512963e+21 4.735433751831977e+21 4.940358589946065e+21 4.757947123522974e+21 4.401884628625555e+21 3.776921135885742e+21 0.0 0.0 0.0 0.0
6.899999999999997 8.50220830154553e+21 5.322686618960587e+21 3.659337636560322e+21 4.4489667591814827e+21 4.6037359129284853e+21 4.46509145498652e+21 4.048001311749765e+21 3.6249161867170147e+21 0.0 0.0 0.0 0.0
6.9999999999999964 7.450727180583663e+21 4.704655135979058e+21 3.268936241995483e+21 4.050172186149822e+21 4.1749050182960037e+21 4.0622738527286896e+21 3.6413252424420153e+21 3.3257872648433256e+21 0.0 0.0 0.0 0.0
7.099999999999996 6.43926341957469e+21 4.10803731388422e+21 2.8883995131523257e+21 3.6392998789140217e+21 3.7409728479277073e+21 3.6481175725858955e+21 3.2383084430996726e+21 2.990349123484254e+21 0.0 0.0 0.0 0.0
7.199999999999996 5.502901972227298e+21 3.5511740065144205e+21 2.527557126156662e+21 3.2278638650837403e+21 3.3117944298823924e+21 3.234033531015469e+21 2.848830110179049e+21 2.6398205088999423e+21 0.0 0.0 0.0 0.0
7.299999999999995 4.6569079858610213e+21 3.0375619281465324e+21 2.1854190140183906e+21 2.818370101950399e+21 2.8860044908058866e+21 2.822133406448669e+21 2.471753960438974e+21 2.2909017330297864e+21 0.0 0.0 0.0 0.0
7.399999999999995 3.914130686150659e+21 2.5764165811795746e+21 1.8707598225346205e+21 2.434045846856682e+21 2.483686796666129e+21 2.4352068839579105e+21 2.1200469374605533e+21 1.9700203123403834e+21 0.0 0.0 0.0 0.0
7.499999999999995 3.277298549333256e+21 2.1767017940339783e+21 1.5964699171212666e+21 2.1071781419816429e+21 2.1375185350890016e+21 2.1055342854025296e+21 1.8148859221146225e+21 1.7030430086413636e+21 0.0 0.0 0.0 0.0
7.599999999999994 2.735855398594694e+21 1.8358096920741035e+21 1.3633591972050924e+21 1.8382497439519434e+21 1.8506974690789286e+21 1.834007905160607e+21 1.5585787607308936e+21 1.486095552857287e+21 0.0 0.0 0.0 0.0
7.699999999999994 2.276649662357829e+21 1.5438895933055222e+21 1.1621017808350482e+21 1.6058388138028433e+21 1.602766760053007e+21 1.599384364124414e+21 1.337425663261616e+21 1.3001349951763972e+21 0.0 0.0 0.0 0.0
7.799999999999994 1.8900536954175834e+21 1.2955821861554437e+21 9.893346986884128e+20 1.4062361731913834e+21 1.389386416316919e+21 1.3978376331353504e+21 1.1475530052577607e+21 1.1421861424701907e+21 0.0 0.0 0.0 0.0
7.899999999999993 1.5671850980077362e+21 1.086329429510811e+21 8.423584316437335e+20 1.2346788517780767e+21 1.205410705195872e+21 1.2245579165917797e+21 9.852017345568999e+20 1.0104736415843222e+21 0.0 0.0 0.0 0.0
7.999999999999993 1.297104484186204e+21 9.098859738590738e+20 7.178151287473419e+20 1.0884875000507919e+21 1.04722635445865e+21 1.0767577326857325e+21 8.468752139177538e+20 9.040879766984668e+20 0.0 0.0 0.0 0.0
8.099999999999993 1.0704822164598062e+21 7.604725502424917e+20 6.117439477451618e+20 9.611809579093754e+20 9.097568754466323e+20 9.481804473048378e+20 7.281350388652469e+20 8.12175865741e+20 0.0 0.0 0.0 0.0
8.199999999999992 8.807820844990536e+20 6.33910800124253e+20 5.2078595613994156e+20 8.456898411238664e+20 7.872884730102666e+20 8.32024288444436e+20 6.246461301704942e+20 7.300938690678792e+20 0.0 0.0 0.0 0.0
8.299999999999992 7.222872287735484e+20 5.268926568279093e+20 4.429884104416086e+20 7.424893918118864e+20 6.797860387376012e+20 7.286533708170329e+20 5.351398106787925e+20 6.588925437814511e+20 0.0 0.0 0.0 0.0
8.399999999999991 5.900136611571715e+20 4.363411807848813e+20 3.756768627409178e+20 6.483555849646958e+20 5.8443463237916774e+20 6.347808877049398e+20 4.56818625389016e+20 5.897361279787733e+20 0.0 0.0 0.0 0.0
8.499999999999991 4.7978904293990754e+20 3.5967723503394324e+20 3.170534377782343e+20 5.6251752004594624e+20 4.99746583501623e+20 5.494932971071907e+20 3.8798908797933244e+20 5.222665931044966e+20 0.0 0.0 0.0 0.0
8.59999999999999 3.8862936135136575e+20 2.95273091320181e+20 2.664807451242183e+20 4.85686390115983e+20 4.255060739347597e+20 4.7337143997023755e+20 3.28169749307553e+20 4.5866034256878155e+20 0.0 0.0 0.0 0.0
8.69999999999999 3.139513003614058e+20 2.4177045810706383e+20 2.234991399343095e+20 4.1823944389706e+20 3.6137999463173954e+20 4.067004240074446e+20 2.7694312487601973e+20 4.010987238895229e+20 0.0 0.0 0.0 0.0
8.79999999999999 2.5305107455504178e+20 1.9755281328840927e+20 1.8714003894504437e+20 3.5960188741158404e+20 3.0633033385782274e+20 3.4883522133369055e+20 2.3330758639552745e+20 3.501834458688415e+20 0.0 0.0 0.0 0.0
8.89999999999999 2.0361321378047977e+20 1.612042118398888e+20 1.5660826675549874e+20 3.0918108003270427e+20 2.5936484250860424e+20 2.9913973641862716e+20 1.9639016504026474e+20 3.059893886363617e+20 0.0 0.0 0.0 0.0
