log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
6.0 3.1645487597601246e+20 8.347568077538302e+20 9.70063258275766e+20 1.0883576870111881e+21 1.0861401721942684e+21 1.0871314591605204e+21 1.0248211090277968e+21 9.595239609879357e+20 0.0 0.0 0.0 0.0
6.1 3.2465460504527575e+20 8.641710046487039e+20 1.0068811979458983e+21 1.1302665530639594e+21 1.1280910899462818e+21 1.1290944450314266e+21 1.0640721821912097e+21 9.978910890474863e+20 0.0 0.0 0.0 0.0
6.199999999999999 3.429179976130943e+20 9.325462409486336e+20 1.0935873817439631e+21 1.230314156350974e+21 1.2279712497902643e+21 1.2292411824039293e+21 1.1569800471838336e+21 1.0897919668999068e+21 0.0 0.0 0.0 0.0
6.299999999999999 3.6460206808279784e+20 1.0224252601150143e+21 1.210918088634499e+21 1.3695282378214316e+21 1.3664383779132e+21 1.368513425456906e+21 1.2839376663549853e+21 1.2185061539669585e+21 0.0 0.0 0.0 0.0
6.399999999999999 3.7942319982128955e+20 1.0996949577331856e+21 1.3208565251760296e+21 1.5113073740294594e+21 1.504855591770232e+21 1.5100516610339617e+21 1.405527909583895e+21 1.3543625209109527e+21 0.0 0.0 0.0 0.0
6.499999999999998 3.76230751800907e+20 1.1198032279792579e+21 1.3676354343054208e+21 1.5983075462873282e+21 1.5837899052320828e+21 1.5961885635202877e+21 1.4644087086136846e+21 1.450071124422891e+21 0.0 0.0 0.0 0.0
6.599999999999998 3.555470823881067e+20 1.0752985121062068e+21 1.3291503718799392e+21 1.582425324439276e+21 1.5607234858211032e+21 1.5794907549460655e+21 1.4313298601297746e+21 1.4526561721564825e+21 0.0 0.0 0.0 0.0
6.6999999999999975 3.24690263500263e+20 9.902545340695621e+20 1.2312980835209204e+21 1.4835108252539208e+21 1.458006372424452e+21 1.48022001570858e+21 1.331104746872217e+21 1.3789833698842847e+21 0.0 0.0 0.0 0.0
6.799999999999997 2.89098340258412e+20 8.871216870635758e+20 1.1079417698560626e+21 1.3500951044690763e+21 1.322135426476192e+21 1.346613728914005e+21 1.202354881024505e+21 1.2764287138653806e+21 0.0 0.0 0.0 0.0
6.899999999999997 2.5214264892862995e+20 7.784821209774497e+20 9.764536113937048e+20 1.2028095172679704e+21 1.1737458270453591e+21 1.1992087695499332e+21 1.0635675853919416e+21 1.163106810567717e+21 0.0 0.0 0.0 0.0
6.9999999999999964 2.1621538805239526e+20 6.721185495792794e+20 8.471887694077884e+20 1.055233729196631e+21 1.0255593796324283e+21 1.0514722077261018e+21 9.259105698955551e+20 1.0469463891805724e+21 0.0 0.0 0.0 0.0
7.099999999999996 1.828656491973805e+20 5.725225514060477e+20 7.260233825557664e+20 9.152726743729836e+20 8.847951343937487e+20 9.112398926838542e+20 7.95661946746588e+20 9.293879786574541e+20 0.0 0.0 0.0 0.0
