log10_duration FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
6.0 6.390536005703998e+21 3.9596498228683934e+21 2.5256694590198556e+21 2.1889726866471754e+21 2.4527860306815395e+21 2.2203656857255842e+21 2.5109969837436473e+21 1.4547029076393357e+21 0.0 0.0 0.0 0.0
6.1 6.444033951855888e+21 3.9977261377248753e+21 2.550090074765397e+21 2.209604287571487e+21 2.476193914858584e+21 2.2413847396184705e+21 2.535172587013601e+21 1.4681171838661915e+21 0.0 0.0 0.0 0.0
6.199999999999999 6.557178524909984e+21 4.0802107928705746e+21 2.6033659102322906e+21 2.2546962298065466e+21 2.527218353363139e+21 2.2872918081928524e+21 2.587893534154975e+21 1.4975974258445973e+21 0.0 0.0 0.0 0.0
6.299999999999999 6.765250218425282e+21 4.2506151077700693e+21 2.729483037496427e+21 2.408899585328041e+21 2.689869504235972e+21 2.4424180972546425e+21 2.728848151132037e+21 1.6124331693132973e+21 0.0 0.0 0.0 0.0
6.399999999999999 7.101423596523415e+21 4.633959638478745e+21 3.1160645194045603e+21 3.156309882389282e+21 3.434038416302051e+21 3.187032504742746e+21 3.2538821865265656e+21 2.208821757159171e+21 0.0 0.0 0.0 0.0
6.499999999999998 7.252571444780899e+21 4.95445811374467e+21 3.540276341232781e+21 4.2545806944132263e+21 4.502226117052237e+21 4.277736518053702e+21 3.9277525821203777e+21 3.124340931593335e+21 0.0 0.0 0.0 0.0
6.599999999999998 7.06546248567265e+21 4.969827007502516e+21 3.697549386060343e+21 4.986557613441135e+21 5.176113016396986e+21 4.999125010718838e+21 4.286464188756126e+21 3.786964837927146e+21 0.0 0.0 0.0 0.0
6.6999999999999975 6.669915667117568e+21 4.764144788835076e+21 3.6137254520881577e+21 5.117758607331644e+21 5.25326997823183e+21 5.122146970990513e+21 4.2656485298859687e+21 3.9796131866715446e+21 0.0 0.0 0.0 0.0
6.799999999999997 6.14155529270614e+21 4.4250074716518346e+21 3.380224387138657e+21 4.810501258464333e+21 4.920738763981209e+21 4.812377941669708e+21 3.9930469223639726e+21 3.7893164642050874e+21 0.0 0.0 0.0 0.0
6.899999999999997 5.545467776467824e+21 4.022255214171153e+21 3.0777915498717396e+21 4.3285927721862504e+21 4.430742000370777e+21 4.3306650515698174e+21 3.616511045635627e+21 3.4137467611259664e+21 0.0 0.0 0.0 0.0
6.9999999999999964 4.912981441664843e+21 3.5843713881658575e+21 2.7421815611243716e+21 3.7914473500798254e+21 3.8890179391182665e+21 3.794230893643185e+21 3.19950864650016e+21 2.977815379952798e+21 0.0 0.0 0.0 0.0
7.099999999999996 4.271924010046596e+21 3.137647687221465e+21 2.4014561502558395e+21 3.2701285926883704e+21 3.3610361737883225e+21 3.273188875812939e+21 2.784789678500678e+21 2.5538515145240876e+21 0.0 0.0 0.0 0.0
7.199999999999996 3.653961288095206e+21 2.7026453286944165e+21 2.0702565530355407e+21 2.784268747335296e+21 2.866055980160773e+21 2.7871016384067084e+21 2.388917079222212e+21 2.1609565478180996e+21 0.0 0.0 0.0 0.0
7.299999999999995 3.082934157238509e+21 2.2968355487677906e+21 1.7633050868625928e+21 2.350079956869701e+21 2.4205219166741196e+21 2.3521965165946082e+21 2.0270551255422578e+21 1.8138056452375833e+21 0.0 0.0 0.0 0.0
7.399999999999995 2.570543931500342e+21 1.93013796601979e+21 1.48794655303235e+21 1.9730926911348584e+21 2.0307167217698176e+21 1.9741029545019473e+21 1.7060559943053712e+21 1.5155117335729338e+21 0.0 0.0 0.0 0.0
7.499999999999995 2.1210061228823858e+21 1.6057036989201035e+21 1.2447722317957458e+21 1.649552451336421e+21 1.6930263963044332e+21 1.649084306109211e+21 1.4246437197096944e+21 1.2618204240112528e+21 0.0 0.0 0.0 0.0
7.599999999999994 1.7353284582442507e+21 1.325970150174639e+21 1.0354927976611548e+21 1.3781188355371416e+21 1.4069464414861816e+21 1.375932551414694e+21 1.1836528610971295e+21 1.0509264803692427e+21 0.0 0.0 0.0 0.0
7.699999999999994 1.4056522754273066e+21 1.0862113400433736e+21 8.564965279943805e+20 1.1508842567223466e+21 1.166333025879286e+21 1.1470883031689104e+21 9.790306245340782e+20 8.760156939558664e+20 0.0 0.0 0.0 0.0
7.799999999999994 1.1229102395510764e+21 8.794910994042412e+20 7.021973892754356e+20 9.591343291085858e+20 9.62969428124847e+20 9.539514547742677e+20 8.044241854079245e+20 7.299873007000627e+20 0.0 0.0 0.0 0.0
7.899999999999993 8.839505062849067e+20 7.049080201920597e+20 5.7289401081125975e+20 8.043573504938301e+20 7.975923388599886e+20 7.978812858800602e+20 6.601811049742466e+20 6.171779447151076e+20 0.0 0.0 0.0 0.0
7.999999999999993 6.841025789983134e+20 5.584337558996961e+20 4.645904319910242e+20 6.772334820295267e+20 6.615310978523839e+20 6.696663303219029e+20 5.4041560744119743e+20 5.2430540004428644e+20 0.0 0.0 0.0 0.0
8.099999999999993 5.1593842951688244e+20 4.3285754286163755e+20 3.705229208069498e+20 5.6656637659699905e+20 5.432182668720667e+20 5.581125150276619e+20 4.365179527622869e+20 4.452814071318945e+20 0.0 0.0 0.0 0.0
8.199999999999992 3.7688178856729536e+20 3.2720884539192096e+20 2.9077197269677244e+20 4.7460296834760055e+20 4.439207672649991e+20 4.6533055415233964e+20 3.4898667247103056e+20 3.886750081476631e+20 0.0 0.0 0.0 0.0
8.299999999999992 2.64648674013959e+20 2.3962212176203422e+20 2.2270379595163134e+20 3.913066549406197e+20 3.5606071283676866e+20 3.816774422262639e+20 2.7319823421965474e+20 3.337353662393825e+20 0.0 0.0 0.0 0.0
8.399999999999991 1.7831385349304002e+20 1.712009143068019e+20 1.692036156734528e+20 3.278305668168671e+20 2.8904511738004026e+20 3.178997540802561e+20 2.1446279257595645e+20 2.8977601846476594e+20 0.0 0.0 0.0 0.0
