log10tau_V FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
-1.3999999999999977 9.147439709708143e+20 7.599858219247681e+20 7.235329896185113e+20 9.360047240751334e+20 1.0448314616175158e+21 9.972945092502823e+20 8.65565712129588e+20 8.353810005402415e+20 106.58660029148692 337.7650619356745 105.30841597204595 549.6600781992074
-1.2999999999999976 8.80605802010304e+20 7.428410597813056e+20 7.119027045224525e+20 9.234526392387427e+20 1.029560447384789e+21 9.837490041042233e+20 8.523076355512465e+20 8.267985399644979e+20 106.58660029148692 337.76506193567457 105.30841597204595 549.6600781992074
-1.1999999999999975 8.394444519301926e+20 7.218085856334913e+20 6.975265683070951e+20 9.07889579751046e+20 1.0106524093990626e+21 9.669575653699686e+20 8.359059746455859e+20 8.161194088452978e+20 106.5866002914869 337.7650619356746 105.30841597204595 549.6600781992075
-1.0999999999999974 7.903654250347185e+20 6.961789462609938e+20 6.798402688418974e+20 8.886692688419429e+20 9.87341671244809e+20 9.462254032278231e+20 8.157069394796994e+20 8.028715313193626e+20 106.58660029148692 337.76506193567457 105.30841597204596 549.6600781992074
-0.9999999999999973 7.326605903427151e+20 6.652092129810472e+20 6.582109574120689e+20 8.650498713223116e+20 9.587583242088247e+20 9.207561528252442e+20 7.909725561176731e+20 7.8649947806058e+20 106.5866002914869 337.7650619356745 105.30841597204596 549.6600781992074
-0.8999999999999972 6.659994809658478e+20 6.281810735290586e+20 6.319572976194908e+20 8.362054202043057e+20 9.239479062309597e+20 8.896649553249424e+20 7.609006891697047e+20 7.663632171766117e+20 106.58660029148692 337.7650619356745 105.30841597204595 549.6600781992074
-0.7999999999999972 5.906791760406847e+20 5.844952835458156e+20 6.003900917616707e+20 8.012560973501141e+20 8.819160091196887e+20 8.520121510048749e+20 7.246676239358866e+20 7.417462069452504e+20 106.5866002914869 337.7650619356745 105.30841597204598 549.6600781992074
-0.6999999999999971 5.0791026050182054e+20 5.338110256828339e+20 5.6288225790874635e+20 7.593270482940376e+20 8.317095828032124e+20 8.068680387378917e+20 6.815033073490921e+20 7.118789244236266e+20 106.5866002914869 337.76506193567457 105.30841597204599 549.6600781992074
-0.599999999999997 4.2007828846863935e+20 4.762324573244016e+20 5.189771795254277e+20 7.096472384744239e+20 7.725481251712605e+20 7.534210303188527e+20 6.308100908680148e+20 6.759860138049292e+20 106.5866002914869 337.76506193567457 105.30841597204596 549.6600781992074
-0.4999999999999969 3.3086926319218275e+20 4.125297587168811e+20 4.685413847889197e+20 6.516995541511416e+20 7.040159708311517e+20 6.911410001109881e+20 5.7233319206929164e+20 6.33366978450172e+20 106.58660029148692 337.76506193567445 105.30841597204596 549.6600781992073
-0.3999999999999968 2.4510303922793755e+20 3.443549626632659e+20 4.119580997228748e+20 5.8542811133525216e+20 6.263177902069142e+20 6.200036281959968e+20 5.0638174758924806e+20 5.835204813593239e+20 106.58660029148693 337.76506193567457 105.30841597204595 549.6600781992074
-0.2999999999999967 1.6812461581137678e+20 2.7437434595661188e+20 3.5033886113313345e+20 5.114944240375946e+20 5.405781539551953e+20 5.407655849260951e+20 4.340790488020991e+20 5.263185843489574e+20 106.58660029148693 337.7650619356745 105.30841597204595 549.6600781992074
-0.19999999999999662 1.0472293535082357e+20 2.0620060049531958e+20 2.856990439586698e+20 4.315461820484459e+20 4.491281578499267e+20 4.5524974559831294e+20 3.5758627935554306e+20 4.622261875522787e+20 106.58660029148692 337.76506193567457 105.30841597204596 549.6600781992074
-0.09999999999999654 5.7813679278675e+19 1.4399953959851647e+20 2.210043277630285e+20 3.4841935595359345e+20 3.556690092977238e+20 3.665529801200742e+20 2.8019901266145152e+20 3.9253852140667653e+20 106.5866002914869 337.7650619356745 105.30841597204595 549.6600781992074
3.552713678800501e-15 2.744567604106129e+19 9.171588889327868e+19 1.599674480822882e+20 2.661447843297196e+20 2.6515101639680718e+20 2.79036526689972e+20 2.0617788555982396e+20 3.1957377068941437e+20 106.58660029148692 337.7650619356746 105.30841597204596 549.6600781992075
0.1000000000000032 1.0791525441621453e+19 5.204829261115508e+19 1.0649639453078002e+20 1.8960315156148978e+20 1.8319977647266552e+20 1.9793277064642265e+20 1.4018480453999755e+20 2.4671444943286236e+20 106.58660029148692 337.76506193567457 105.30841597204595 549.6600781992074
0.20000000000000373 3.354933578780312e+18 2.556291127739949e+19 6.381382720563158e+19 1.2372114524948914e+20 1.150267360123944e+20 1.2846095865522818e+20 8.630960415346437e+19 1.7816198853182705e+20 106.58660029148692 337.7650619356745 105.30841597204596 549.6600781992074
0.30000000000000426 7.786320649865715e+17 1.047925739552909e+19 3.349257933345252e+19 7.228404358516174e+19 6.4027223428422844e+19 7.454768477529591e+19 4.691526253578297e+19 1.1829802779013226e+20 106.5866002914869 337.7650619356746 105.30841597204598 549.6600781992075
0.4000000000000039 1.2565721267528749e+17 3.427983883101949e+18 1.487859455962504e+19 3.6746484592526397e+19 3.0626316756378137e+19 3.757839482912679e+19 2.1812215966249357e+19 7.0685118720554025e+19 106.58660029148693 337.76506193567457 105.30841597204598 549.6600781992074
0.5000000000000036 1.2913179177180072e+16 8.463129732616229e+17 5.358508583590222e+18 1.5679179392039109e+19 1.2105088088089043e+19 1.5866022850372303e+19 8.337052556171252e+18 3.699470586493102e+19 106.5866002914869 337.76506193567457 105.30841597204595 549.6600781992074
0.6000000000000041 757291262453701.6 1.4717787017280624e+17 1.4820495738041661e+18 5.366331075306602e+18 3.7633149550173384e+18 5.35951322295566e+18 2.4933312601062185e+18 1.639551122889961e+19 106.58660029148692 337.7650619356745 105.30841597204596 549.6600781992074
0.7000000000000046 22086392906210.69 1.6552383292852408e+16 2.940562645130699e+17 1.391546028029377e+18 8.64903224353676e+17 1.3673456472257375e+18 5.485687406121721e+17 5.898081083190189e+18 106.58660029148692 337.7650619356745 105.30841597204596 549.6600781992074
0.8000000000000043 269207389208.96146 1082637265099900.0 3.841989223837918e+16 2.544450023196889e+17 1.3592074060249022e+17 2.4504377377274864e+17 8.222641300412662e+16 1.633589244372764e+18 106.58660029148692 337.7650619356746 105.30841597204595 549.6600781992075
0.9000000000000039 1099820754.6304867 36067122475611.27 2968311665830254.5 2.997176756205693e+16 1.3241524321754042e+16 2.8160040717175812e+16 7630591363002722.0 3.2612562933754976e+17 106.58660029148692 337.76506193567445 105.30841597204596 549.6600781992073
